,folder,name,width,height,depth,R,G,B
0,n02056570,8065,1200,1600,3,0.4866401774170523,0.4400849358815565,0.34223090272999274
1,n02056570,8610,468,500,3,0.42733264395221754,0.4069667011357224,0.37666027781619876
2,n02056570,8445,500,375,3,0.509321256435535,0.5121039977909226,0.3985797892248147
3,n02056570,1188,85,62,3,0.581644880174292,0.5726092191262471,0.5495499369338379
4,n02056570,8237,375,500,3,0.5054750760025093,0.5176792291978318,0.4222798225114492
5,n02056570,10362,500,335,3,0.3767802072974453,0.44519958912334423,0.3824705098951235
6,n02056570,9030,500,375,3,0.4922477685103892,0.5149520778460639,0.5147934957565116
7,n02056570,4836,375,500,3,0.6264846534748849,0.587604606205404,0.44194858159444583
8,n02056570,1970,500,357,3,0.4183685128367207,0.41106679054371287,0.3051482516617668
9,n02056570,8242,345,500,3,0.4372679116764399,0.4650303246464459,0.4287160051126181
10,n02056570,333,500,400,3,0.4946381449283264,0.5272768373904223,0.5738140270881541
11,n02056570,8295,375,500,3,0.4781942223106089,0.478652463794908,0.44784720802277395
12,n02056570,1924,632,800,3,0.5073468220813974,0.48371067908772847,0.4569217389710908
13,n02056570,9785,334,500,3,0.3948823572591335,0.4238230328466996,0.4899813320321889
14,n02056570,8684,375,500,3,0.32653664521835896,0.32679668811497437,0.24654064002511025
15,n02056570,1691,1440,2160,3,0.43849450720544464,0.4514129097021526,0.4545070543028385
16,n02056570,9638,340,500,3,0.4797009991736158,0.4493715683447193,0.36905348717165765
17,n02056570,9227,500,333,3,0.4735331367144191,0.44559776678308965,0.4168902366876871
18,n02056570,9464,375,500,3,0.6142447079533357,0.5521798872024929,0.4148107766236785
19,n02056570,7339,312,468,3,0.5687490897221118,0.48709260718956676,0.2835334663894299
20,n02056570,4215,507,676,3,0.5141441522278484,0.56465071556202,0.5683313079662102
21,n02056570,8369,500,333,3,0.46294902874307886,0.421363689184351,0.3803631390550808
22,n02056570,9041,375,500,3,0.4065776503146745,0.3660881642888563,0.3106350641298738
23,n02056570,15798,375,500,3,0.48855613722106866,0.4770219566784395,0.440611683505912
24,n02056570,3318,333,500,3,0.5183568329330616,0.49567463543355794,0.37103241558931394
25,n02056570,8797,375,500,3,0.5692013513940197,0.5178785218864786,0.4030800837780093
26,n02056570,936,500,333,3,0.4362577045091917,0.4391444668098553,0.44940156907725815
27,n02056570,9720,372,500,3,0.4193463742012352,0.37506252821565367,0.4002393152846232
28,n02056570,9666,500,333,3,0.5001124904478967,0.4635009014048671,0.39803320341601506
29,n02056570,6235,700,465,3,0.5695557743457113,0.5690843631981897,0.48768482461683155
