,rule,type,coef,support,importance
0,Pregnancies,linear,-0.002142651566401931,1.0,0.00668151244166364
1,Glucose,linear,0.00016372807037885642,1.0,0.004736826052140704
2,BloodPressure,linear,0.0009107940203868189,1.0,0.009835235842765296
3,SkinThickness,linear,-0.0011746125323097252,1.0,0.017821265032546628
4,BMI,linear,0.0012529672969345586,1.0,0.00786931076910603
5,DiabetesPedigreeFunction,linear,-0.2725570909570006,1.0,0.06576626198286908
6,Age,linear,-0.0001893429130460457,1.0,0.002032097278673552
7,BMI <= 29.600000381469727,rule,-0.8054012149393686,0.37719298245614036,0.39036496330584985
8,BMI > 29.600000381469727,rule,0.11289242801773236,0.6228070175438597,0.05471713687937256
9,BMI <= 27.449999809265137,rule,0.2736110268583164,0.2620481927710843,0.12032009905499902
10,BMI > 27.449999809265137 & Pregnancies <= 6.5 & Glucose <= 157.5 & Glucose <= 94.5,rule,-1.232567275039605,0.12048192771084337,0.40123052920154795
11,BMI > 27.449999809265137 & Pregnancies <= 6.5 & Glucose <= 157.5 & Glucose > 94.5 & BMI <= 31.100000381469727,rule,-0.13343723574154467,0.10240963855421686,0.04045633562017531
12,BMI > 27.449999809265137 & Pregnancies <= 6.5 & Glucose <= 157.5 & Glucose > 94.5 & BMI > 31.100000381469727 & BMI <= 32.35000038146973,rule,0.019914243070181848,0.030120481927710843,0.003403718662611683
13,BMI > 27.449999809265137 & Pregnancies <= 6.5 & Glucose <= 157.5 & Glucose > 94.5 & BMI > 31.100000381469727 & BMI > 32.35000038146973 & DiabetesPedigreeFunction <= 0.21899999678134918,rule,-2.03937684366658,0.0572289156626506,0.4737054368705486
14,BMI > 27.449999809265137 & Pregnancies <= 6.5 & Glucose <= 157.5 & Glucose > 94.5 & BMI > 31.100000381469727 & BMI > 32.35000038146973 & DiabetesPedigreeFunction > 0.21899999678134918,rule,0.5717307539330615,0.1927710843373494,0.22553339332388966
15,BMI > 27.449999809265137 & Pregnancies <= 6.5 & Glucose > 157.5,rule,-0.41243361917486365,0.0783132530120482,0.11080602174142597
16,BMI > 27.449999809265137 & Pregnancies > 6.5,rule,0.26240173521187904,0.1566265060240964,0.09536945622720219
17,Age <= 26.5 & Glucose <= 133.0,rule,-0.4855957225083641,0.3413897280966767,0.2302577874794929
18,Age <= 26.5 & Glucose > 133.0 & Pregnancies <= 1.5,rule,-1.1640889143230622,0.03927492447129909,0.2261223008248185
19,Age <= 26.5 & Glucose > 133.0 & Pregnancies > 1.5,rule,2.8767007324519245,0.030211480362537766,0.4924013175744051
20,Age > 26.5,rule,0.10623405223791077,0.5891238670694864,0.05226639109030476
21,BMI <= 30.050000190734863,rule,-0.036181008826514205,0.3976945244956772,0.01770777045027002
22,BMI > 30.050000190734863 & Age <= 30.5,rule,0.01627258764984549,0.3025936599423631,0.0074753146425426634
23,BMI > 30.050000190734863 & Age > 30.5,rule,-0.03698964194139998,0.29971181556195964,0.01694612708598167
24,BMI > 30.050000190734863,rule,0.08487023594247488,0.5783132530120482,0.04191137972038144
25,Glucose <= 139.5,rule,0.0,0.7382352941176471,0.0
26,Glucose > 139.5,rule,-0.0005130334690780762,0.26176470588235295,0.00022552705323162906
27,Age <= 28.5,rule,0.05334542828453645,0.5203488372093024,0.02665061597057836
28,Age > 28.5,rule,-0.06308846501081158,0.4796511627906977,0.03151809831216204
29,BMI <= 30.050000190734863 & Glucose <= 161.5,rule,-0.23546328814213163,0.3866279069767442,0.11466524676748965
30,BMI <= 30.050000190734863 & Glucose > 161.5,rule,4.933142241771149,0.023255813953488372,0.7434980394716575
31,BMI > 30.050000190734863 & Glucose <= 137.5 & Age <= 28.5 & BloodPressure <= 53.0,rule,2.284692246557826,0.01744186046511628,0.29909092825034217
32,BMI > 30.050000190734863 & Glucose <= 137.5 & Age <= 28.5 & BloodPressure > 53.0,rule,0.16954807977235117,0.19186046511627908,0.0667619170251119
33,BMI > 30.050000190734863 & Glucose <= 137.5 & Age > 28.5,rule,-0.10797319952892669,0.16569767441860464,0.04014541062950372
34,BMI > 30.050000190734863 & Glucose > 137.5,rule,-0.24608491746226083,0.21511627906976744,0.10111702788746062
35,Pregnancies <= 2.5,rule,-0.031989224551825235,0.45151515151515154,0.015919235015669782
36,Pregnancies > 2.5 & Glucose <= 124.5,rule,0.07535807607827792,0.3,0.03453340878549495
37,Pregnancies > 2.5 & Glucose > 124.5,rule,0.0,0.24848484848484848,0.0
38,Pregnancies <= 6.5 & BMI <= 29.84999942779541,rule,-0.1491408851427513,0.3323076923076923,0.07025141884414147
39,Pregnancies <= 6.5 & BMI > 29.84999942779541 & Glucose <= 157.5,rule,0.08899192902821727,0.4123076923076923,0.04380627676327561
40,Pregnancies <= 6.5 & BMI > 29.84999942779541 & Glucose > 157.5,rule,-0.2835439056713973,0.06461538461538462,0.06970812405988923
41,Pregnancies > 6.5,rule,-0.2573949887742114,0.19076923076923077,0.10113243065927696
42,Glucose <= 144.5,rule,0.04247803300968823,0.7947214076246334,0.017157092176681134
43,Glucose > 144.5,rule,-0.29663727148219227,0.20527859237536658,0.1198132928777182
44,Glucose <= 154.5 & Pregnancies <= 8.5 & Age <= 39.5 & SkinThickness <= 4.0,rule,1.1161926268951092,0.1317365269461078,0.3775009247157341
45,Glucose <= 154.5 & Pregnancies <= 8.5 & Age <= 39.5 & SkinThickness > 4.0 & SkinThickness <= 31.5,rule,-0.9218969194166136,0.3323353293413174,0.43425998983124164
46,Glucose <= 154.5 & Pregnancies <= 8.5 & Age <= 39.5 & SkinThickness > 4.0 & SkinThickness > 31.5 & BMI <= 44.54999923706055,rule,0.10232756638691765,0.16467065868263472,0.03795155937911044
