,folder,name,width,height,depth,R,G,B
0,n02391049,3221,333,500,3,0.4886574288797895,0.45214991305525737,0.3787338018484408
1,n02391049,22,360,480,3,0.4699381505764103,0.5279373467660069,0.36122780206718536
2,n02391049,890,600,800,3,0.5245134856517715,0.5436356691281662,0.4918446388748633
3,n02391049,2363,284,427,3,0.5,0.5,0.5
4,n02391049,19393,310,500,3,0.5628341825283335,0.5158048610050581,0.39942442164498565
5,n02391049,10244,350,454,3,0.435375050583085,0.4988398130214706,0.37991027844244923
6,n02391049,7236,499,666,3,0.5648590913830699,0.5108477236225606,0.3907201931249341
7,n02391049,5527,500,375,3,0.5284694267053531,0.4999240924125532,0.4557049285736031
8,n02391049,3219,500,332,3,0.4620092322121214,0.46162091062431765,0.34472961036141403
9,n02391049,9519,419,500,3,0.6394689451593377,0.5248320843356052,0.3825905779498194
10,n02391049,1564,500,333,3,0.47448437827969,0.4785805996807933,0.47220288236482233
11,n02391049,7190,375,500,3,0.36434743937915826,0.37469707596171586,0.2882930542006135
12,n02391049,5503,500,370,3,0.5056983532129385,0.46104504421211584,0.46470262541066365
13,n02391049,8830,375,500,3,0.538001977839816,0.5578803900623273,0.4845825740642663
14,n02391049,10097,333,500,3,0.5215481474419409,0.49182449136686907,0.45589135708308165
15,n02391049,85,375,500,3,0.4566386869555322,0.49157885768181886,0.43038861173324655
16,n02391049,109,375,500,3,0.4951179331006286,0.5651176678488294,0.47885462839298276
17,n02391049,354,413,551,3,0.48495539599324533,0.5130871963783211,0.4742648103590018
18,n02391049,2691,468,500,3,0.5,0.5,0.5
19,n02391049,2204,472,600,3,0.5576158940397351,0.49775819855820985,0.37944789323548267
20,n02391049,2623,395,500,3,0.4955753577053983,0.49629559557308994,0.4711727968308497
21,n02391049,308,350,500,3,0.5438741919483777,0.4815920873964846,0.4205918335774564
22,n02391049,6631,364,500,3,0.5117952794423383,0.4848128584553924,0.4596737095605874
23,n02391049,690,347,519,3,0.5124713168071262,0.5545863423907185,0.4049683142342608
24,n02391049,6511,483,500,3,0.4715391795079505,0.4345377279284939,0.40160825787424254
25,n02391049,2162,375,500,3,0.5293706905320142,0.5051659087812136,0.4201838749531112
26,n02391049,6922,375,500,3,0.45837256967969037,0.46082969466535306,0.4528568975822717
27,n02391049,5501,374,500,3,0.49516795109420214,0.5343066068702592,0.38543402928828746
28,n02391049,12,500,375,3,0.5788749593993477,0.5080898737536216,0.3948029882080097
29,n02391049,314,500,375,3,0.41325172903269025,0.404902206693267,0.2827368401823661
30,n02391049,5015,272,400,3,0.6275695699984292,0.5800459848906788,0.5392785798951774
31,n02391049,2974,500,333,3,0.49352845085429803,0.441586499573672,0.36405286872301496
32,n02391049,4814,375,500,3,0.5220086512378113,0.4637814218333781,0.43710250331956624
33,n02391049,24411,341,500,3,0.544331196202988,0.4690420936010646,0.3992013622567048
34,n02391049,5695,500,333,3,0.38067168785497285,0.3793425970994748,0.37137377369968255
35,n02391049,1441,329,500,3,0.4695790133218728,0.45166445663572624,0.38501726475151044
36,n02391049,2963,403,500,3,0.40115612783783444,0.5178770464580565,0.31750261790503853
37,n02391049,2901,500,372,3,0.4912248975953819,0.4727429636041277,0.48762338697308155
38,n02391049,1220,500,448,3,0.5316114587679043,0.5269805590321235,0.43573294395772494
39,n02391049,7150,375,500,3,0.485604266505304,0.43591255441036897,0.40073399595272696
40,n02391049,2989,333,500,3,0.5303905173368783,0.4908090838595325,0.36050213803035336
41,n02391049,1303,375,500,3,0.5087691518358701,0.45629745968885027,0.38609553985869605
42,n02391049,954,332,500,3,0.5337420521760425,0.4908107400587218,0.43617668434227874
43,n02391049,4638,500,333,3,0.44752918122477153,0.4346630145767308,0.3071802646570332
44,n02391049,170,375,500,3,0.43781872968726454,0.4560686453871707,0.42612284137950834
45,n02391049,357,383,500,3,0.497007272595963,0.4595282851262052,0.3877492796013433
46,n02391049,9555,341,500,3,0.5,0.5,0.5
47,n02391049,1868,281,500,3,0.4108386801049987,0.45471225033239626,0.3620110266476957
48,n02391049,1652,480,640,3,0.5430374149949877,0.5093326966965943,0.47847968873010865
49,n02391049,924,375,500,3,0.40913310782449824,0.4832551217568581,0.40682002042070137
50,n02391049,1738,333,500,3,0.3050425023836478,0.3889564663826453,0.36851338155359104
51,n02391049,127,600,800,3,0.3862927666411071,0.5036810568316455,0.5205299770971126
52,n02391049,5551,489,500,3,0.5477812058540996,0.48837882126914167,0.3488283889924846
53,n02391049,675,384,512,3,0.48923706796489624,0.45523773662866834,0.2964859608376291
54,n02391049,6421,333,500,3,0.401212645064229,0.4470559727511208,0.2728950850871797
55,n02391049,6155,321,485,3,0.45128536945032943,0.4522925327256912,0.4420001494201962
56,n02391049,2469,500,375,3,0.5463096119835421,0.47098066113908205,0.39953667812723054
57,n02391049,964,375,500,3,0.5,0.5,0.5
58,n02391049,3371,602,800,3,0.480763615038561,0.48773069830897436,0.45113018070246297
59,n02391049,1889,333,500,3,0.5305934782067072,0.5135784936592172,0.4672103480362367
60,n02391049,3340,333,500,3,0.4028149331004834,0.4022060277180535,0.34418511308408944
61,n02391049,8445,375,500,3,0.46119329418926597,0.4370874642504181,0.3110849420787777
62,n02391049,3958,374,500,3,0.5336533300825728,0.520154772325417,0.38526073527013205
63,n02391049,921,375,500,3,0.44982386399647434,0.45540538548727777,0.4658757496834711
64,n02391049,1725,333,500,3,0.4289144287640171,0.4724121567711106,0.20384926455588523
65,n02391049,345,600,353,3,0.609791232418206,0.5316793070126634,0.47822603902401795
66,n02391049,3261,332,500,3,0.40997582401123595,0.43552539326604756,0.357466311162355
67,n02391049,1551,334,500,3,0.559536921290183,0.46860704040836787,0.35988031449235386
68,n02391049,154,375,500,3,0.5195281996790682,0.5654626833398679,0.4484461498596394
69,n02391049,841,333,500,3,0.41233980357347494,0.4098320428444651,0.2113142961291592
70,n02391049,1211,333,500,3,0.3799204378056436,0.4738669440889549,0.3068348960818598
71,n02391049,3509,334,500,3,0.4756489312494554,0.4582885255142885,0.3705586460524385
72,n02391049,4471,333,500,3,0.5186587803797628,0.4708325969585617,0.39794289404083455
73,n02391049,1795,333,500,3,0.655238575741212,0.5967862600133753,0.5497521373473112
74,n02391049,8982,375,500,3,0.5112466312267969,0.46121754520407976,0.3930186032484043
75,n02391049,5720,480,640,3,0.4913604470184423,0.4776963958456815,0.4531459319253145
76,n02391049,3211,333,500,3,0.5301252255959416,0.4589049500361156,0.43711050704440435
77,n02391049,966,375,500,3,0.5706798339287078,0.5916526200977474,0.5226878847384404
78,n02391049,2293,333,500,3,0.6164911330904043,0.534941384695471,0.38443238591011625
79,n02391049,3091,333,500,3,0.5348477739273267,0.4150370982888989,0.2779630062133234
80,n02391049,6775,346,500,3,0.48599892751393076,0.5342605415795595,0.4221526919659395
81,n02391049,276,375,500,3,0.47310131656378784,0.5239978721862223,0.44628118090866375
82,n02391049,1695,386,500,3,0.46629043302058726,0.4604827843049281,0.4127420922754804
83,n02391049,9665,380,500,3,0.49130007247654317,0.46099903661400987,0.3917494982735624
84,n02391049,33691,367,500,3,0.5058445107576365,0.4708840784375009,0.4831816390338294
85,n02391049,353,387,500,3,0.6403844004366733,0.522735290733696,0.3609104428115342
86,n02391049,2997,375,500,3,0.5946872751443708,0.5389813979786243,0.4505942178587211
87,n02391049,24972,356,500,3,0.44383041721988203,0.4460561821645364,0.30830190909058025
88,n02391049,3232,332,500,3,0.533126410645277,0.46294380844101857,0.34201257556817916
89,n02391049,3342,534,800,3,0.5460201149246571,0.5517126128961238,0.45806954106842035
90,n02391049,1617,247,500,3,0.5,0.5,0.5
91,n02391049,3016,175,240,3,0.41206417752880525,0.33816413814450885,0.19174666208651212
92,n02391049,5789,338,500,3,0.4730983923353628,0.45915210533055484,0.4697659709044908
93,n02391049,2935,500,404,3,0.5294313787757084,0.515848401920311,0.3780629860708971
94,n02391049,3969,414,500,3,0.5392122815596727,0.5345159444603633,0.4714420654627233
95,n02391049,328,500,375,3,0.4878495214840923,0.4535635065467008,0.4759658608340914
96,n02391049,2350,500,375,3,0.4831526754186301,0.4388516636522838,0.394758992909023
97,n02391049,6026,362,500,3,0.4316856111565192,0.42521250150185214,0.40330593616578425
98,n02391049,676,375,500,3,0.34298578656275147,0.3732838506907258,0.3099187948965631
99,n02391049,2803,324,432,3,0.563042310052999,0.5742273633703384,0.47474971284786155
100,n02391049,1174,384,500,3,0.44409073310790825,0.41606734559719194,0.3653978549668979
101,n02391049,403,500,332,3,0.601784502736372,0.5548956604215928,0.4324595544572065
102,n02391049,560,375,500,3,0.5380305513824463,0.5062317963061016,0.45260212013656836
103,n02391049,56,830,574,3,0.4752317313064977,0.4753107047774448,0.4878376802510942
104,n02391049,3148,378,500,3,0.4043633659566302,0.3511494350186822,0.2486959147504713
105,n02391049,3937,375,500,3,0.48649417833528286,0.4454163668962052,0.3793381068210627
106,n02391049,2549,355,500,3,0.4948518410264155,0.36035769092719383,0.3091191302240829
107,n02391049,9726,512,512,3,0.5549372902314078,0.5549372902314078,0.5549372902314078
108,n02391049,11796,334,500,3,0.44970998061705303,0.4755382860014532,0.3103608264339344
109,n02391049,155,409,500,3,0.4879484304555718,0.46694498831582676,0.3151818921881386
110,n02391049,178,333,500,3,0.49380222935402823,0.4730749585182025,0.43817310176347496
111,n02391049,80,500,500,3,0.5,0.5,0.5
112,n02391049,10754,344,500,3,0.48304507726290147,0.5125860255609823,0.3211253877648303
113,n02391049,750,500,302,3,0.3975124533607654,0.38314505509737334,0.2860304479404902
114,n02391049,100,500,333,3,0.5072924457489909,0.4969874251492983,0.32158798061189586
115,n02391049,7038,333,500,3,0.5199450326797386,0.4616348366013072,0.35251111111111105
116,n02391049,9377,333,500,3,0.5480256935292543,0.5045848554703206,0.47373619344840767
117,n02391049,9922,857,1194,3,0.6038405796204084,0.6222201582821855,0.5238250918143725
118,n02391049,2559,500,375,3,0.5484410182270837,0.4842235128446643,0.3403962558353079
119,n02391049,261,500,333,3,0.41023312026886594,0.32411243982691074,0.17210299404465484
120,n02391049,1288,500,375,3,0.4814103130726053,0.4701432933579901,0.4102882174696013
121,n02391049,2485,500,350,3,0.5068618983835187,0.4353929147754988,0.3285297772975599
122,n02391049,7368,374,500,3,0.556323579895398,0.5426946025275077,0.5028435945772263
123,n02391049,1428,333,500,3,0.4974225522857436,0.4565223034655821,0.4090145347283551
124,n02391049,2379,333,500,3,0.40603081325017254,0.3833550302713664,0.36550064515107616
125,n02391049,3374,333,500,3,0.4534146171457372,0.49366315893027446,0.357169156257336
126,n02391049,20510,500,332,3,0.5609829455060628,0.47692421335068585,0.4192328680089256
127,n02391049,715,435,500,3,0.5490742708030967,0.5573200652630523,0.44885911021070185
128,n02391049,10339,359,500,3,0.5924785828116608,0.5417826379167144,0.4641709735832666
129,n02391049,4969,333,500,3,0.5036662670477251,0.46303183883424903,0.44345101574549134
130,n02391049,10210,397,500,3,0.468350273532867,0.44243389819598006,0.3918872584518769
131,n02391049,3086,500,455,3,0.5,0.5,0.5
132,n02391049,5947,362,500,3,0.5096086206029197,0.5062902539807336,0.5955901193061826
133,n02391049,9062,333,500,3,0.49457749146400576,0.4036718681708735,0.3220169934051884
134,n02391049,6208,375,500,3,0.4147334167709637,0.44681397201046763,0.3625276292335116
135,n02391049,2837,384,409,3,0.494482050691341,0.5445264162636568,0.5254553995511249
136,n02391049,2273,340,500,3,0.5447823054972781,0.5841231608091699,0.44469082064135085
137,n02391049,1046,447,500,3,0.4815715065378647,0.4881968939253122,0.4960780974578331
138,n02391049,2367,600,800,3,0.4979711127112542,0.4671417264436377,0.35854762931052386
139,n02391049,8000,333,500,3,0.4716103607725437,0.4364669567545184,0.3388770112195531
140,n02391049,1099,375,500,3,0.3846389223053786,0.38500282604536185,0.3342893503907713
141,n02391049,4474,500,333,3,0.5609081340149007,0.5056587206051856,0.43392927868197706
142,n02391049,1223,375,500,3,0.5511281078057221,0.4627284178074989,0.3329777740857107
143,n02391049,3947,333,500,3,0.5572809910516922,0.4539982992026556,0.3537196076345358
144,n02391049,9398,576,864,3,0.49475746582786123,0.47136489568504997,0.39387585270902536
145,n02391049,2465,375,500,3,0.6371403158729778,0.539131490280957,0.43666410547024664
146,n02391049,1112,375,500,3,0.5475797075604888,0.3188056864017003,0.4198613935043033
147,n02391049,817,992,1306,3,0.596752706502521,0.525385306140077,0.41604925241352403
148,n02391049,7512,375,500,3,0.5948313427096211,0.5785031908061621,0.4183991272801746
149,n02391049,146,416,500,3,0.42423075986447517,0.3668552272874267,0.2661893079503138
150,n02391049,10134,392,500,3,0.4666377164204409,0.5080469787146289,0.5067703918296854
151,n02391049,3317,333,500,3,0.4066384630455013,0.30033285170854357,0.2529505640724233
152,n02391049,9533,375,500,3,0.5017664270163689,0.5552184582061354,0.4245031609481737
153,n02391049,6524,375,500,3,0.4969272342476019,0.4366871512056159,0.3504823525166264
154,n02391049,589,337,500,3,0.4766273997576231,0.5000296083126793,0.5010015215490696
155,n02391049,2811,333,500,3,0.5141438366958649,0.4951940296796784,0.3176012842664466
156,n02391049,3199,333,500,3,0.5243866007314335,0.42628190354213685,0.2917213334096425
157,n02391049,4,333,500,3,0.5099912380100775,0.4903727314540022,0.48770289402617295
158,n02391049,2749,350,502,3,0.39225039335302403,0.46790736191238574,0.4105363402986723
159,n02391049,6216,375,500,3,0.40848700510064845,0.41787590417864934,0.3514836502567341
160,n02391049,1135,500,500,3,0.43657371924266775,0.41366977152725487,0.35329207119786527
161,n02391049,22836,333,500,3,0.5124496320056809,0.47505685583377033,0.16894960015936708
162,n02391049,3938,339,500,3,0.6008997979816627,0.5288095553596829,0.44382336569626224
163,n02391049,2671,400,500,3,0.57104052277324,0.5101191149351804,0.43481113401141835
164,n02391049,10917,500,334,3,0.5731940831353988,0.5347634646226483,0.4265441067715357
165,n02391049,2034,375,500,3,0.5174862571489152,0.45827338846127025,0.4356310896519142
166,n02391049,5333,335,500,3,0.60754891234592,0.421388827379933,0.17094219964025442
167,n02391049,7306,361,500,3,0.5802426592002298,0.5739299725920951,0.5266844881394298
168,n02391049,1558,313,500,3,0.5708133590383122,0.5202785362606807,0.46070429343726943
169,n02391049,3043,500,332,3,0.4407198937732083,0.4621366246541803,0.42696597589413127
170,n02391049,712,500,357,3,0.42978066923556224,0.4357838089967036,0.4278775980479179
171,n02391049,737,304,535,3,0.5360976284485577,0.5147021100017604,0.43813763213707885
172,n02391049,2364,375,500,3,0.5041052219717096,0.498504884156799,0.4633768253274047
173,n02391049,2816,500,341,3,0.5673241064899994,0.4508565814795376,0.3615162834751838
174,n02391049,9260,500,311,3,0.4847606060433161,0.40873689836114213,0.34729915892122315
175,n02391049,3158,331,500,3,0.5783449970622023,0.4976834392726562,0.38452503333217325
176,n02391049,29045,332,500,3,0.4932324384730262,0.4389897645007489,0.3644426185917451
177,n02391049,1992,600,800,3,0.44749671646965483,0.4236804874959164,0.40282563620483897
178,n02391049,1087,375,500,3,0.6009985485543436,0.5118795293708248,0.4024837695879596
179,n02391049,4879,333,500,3,0.433034549263459,0.4389876190159501,0.3430391824338554
180,n02391049,7563,500,375,3,0.4863628521998898,0.5138737031917239,0.3261052667057821
181,n02391049,10426,333,500,3,0.5530214852708784,0.4530992034647075,0.3018263775549856
182,n02391049,4932,386,500,3,0.5049147797194191,0.46692538940262296,0.31658268432896175
183,n02391049,6902,500,368,3,0.6394825704612245,0.5290199803089728,0.3971681670832076
184,n02391049,1024,385,500,3,0.4774766709383968,0.546637642967589,0.40191777821898933
185,n02391049,764,333,500,3,0.553521415102326,0.5008931236460733,0.38760109234880286
186,n02391049,1239,333,500,3,0.5598213487507313,0.49600872264413365,0.42803773324416045
187,n02391049,10269,339,500,3,0.4203937527092408,0.430903208772135,0.41852132270571296
188,n02391049,718,500,333,3,0.5393772890632011,0.4956710231394386,0.45522470904924167
189,n02391049,9499,500,471,3,0.4180282360714355,0.43403476554149906,0.4857294156512952
190,n02391049,4528,351,500,3,0.486720303935056,0.4624411819128733,0.41780772454276527
191,n02391049,6386,374,500,3,0.3155039384109177,0.3142674539420316,0.221112258339578
192,n02391049,9593,343,500,3,0.4912966822922556,0.5132515043373813,0.34567126737344195
193,n02391049,4176,338,510,3,0.4357358129103101,0.4386026634563365,0.4244503660866725
194,n02391049,2990,375,500,3,0.5015128731980848,0.5386412441553184,0.37997827524567024
195,n02391049,3296,525,700,3,0.4234361004867655,0.42867533746331377,0.3059586153670868
196,n02391049,3290,533,800,3,0.538642284283621,0.4906558560960305,0.4262737821445924
197,n02391049,440,375,500,3,0.5069925866888385,0.5050636170497137,0.4823962353728343
198,n02391049,9965,500,333,3,0.5768393342476628,0.5616619694252285,0.47165046495154567
