,0
0,382
1,551
2,543
3,753
4,393
5,87
6,42
7,565
8,331
9,765
10,381
11,466
12,276
13,375
14,490
15,229
16,486
17,705
18,23
19,388
20,250
21,723
22,204
23,638
24,213
25,216
26,253
27,210
28,569
29,415
30,635
31,636
32,257
33,699
34,392
35,469
36,170
37,496
38,566
39,644
40,538
41,239
42,719
43,3
44,539
45,208
46,491
47,428
48,109
49,274
50,645
51,278
52,416
53,96
54,202
55,237
56,162
57,552
58,433
59,518
60,387
61,329
62,559
63,341
64,683
65,712
66,297
67,115
68,131
69,165
70,356
71,472
72,713
73,577
74,327
75,164
76,615
77,423
78,273
79,737
80,67
81,52
82,693
83,431
84,365
85,568
86,163
87,176
88,698
89,628
90,196
91,369
92,444
93,110
94,403
95,412
96,59
97,1
98,223
99,139
100,498
101,305
102,238
103,438
104,732
105,224
106,316
107,602
108,729
109,260
110,467
111,21
112,558
113,548
114,2
115,366
116,173
117,441
118,707
119,507
120,74
121,676
122,271
123,405
124,540
125,179
126,343
127,313
128,26
129,417
130,174
131,481
132,640
133,71
134,72
135,200
136,227
137,532
138,541
139,33
140,749
141,35
142,134
143,718
144,509
145,508
146,400
147,564
148,226
149,205
150,37
151,89
152,236
153,27
154,605
155,637
156,402
157,309
158,5
159,418
160,754
161,463
162,286
163,149
164,282
165,406
166,488
167,610
168,554
169,203
170,603
171,614
172,397
173,284
174,493
175,654
176,77
177,117
178,592
179,688
180,409
181,629
182,735
183,722
184,207
185,501
186,711
187,546
188,630
189,24
190,209
191,608
192,287
193,126
194,150
195,396
196,669
197,759
198,61
199,55
200,434
201,240
202,500
203,54
204,185
205,294
206,246
207,594
208,62
209,394
210,51
211,385
212,702
213,584
214,571
215,657
216,525
217,408
218,36
219,0
220,689
221,28
222,212
223,353
224,79
225,527
226,180
227,668
228,561
229,44
230,747
231,521
232,424
233,626
234,653
235,588
236,225
237,8
238,667
239,32
240,536
241,598
242,731
243,456
244,485
245,447
246,436
247,756
248,741
249,91
250,458
251,95
252,460
253,727
254,352
255,112
256,14
257,414
258,232
259,380
260,345
261,662
262,373
263,41
264,620
265,671
266,457
267,161
268,344
269,361
270,192
271,631
272,279
273,429
274,248
275,670
276,255
277,299
278,324
279,681
280,136
281,264
282,348
283,646
284,19
285,497
286,155
287,432
288,68
289,404
290,611
291,337
292,377
293,742
294,708
295,312
296,562
297,116
298,599
299,135
300,157
301,553
302,242
303,617
304,642
305,477
306,726
307,738
308,311
309,728
310,573
311,576
312,570
313,175
314,92
315,93
316,144
317,121
318,704
319,446
320,451
321,46
322,515
323,744
324,301
325,137
326,664
327,268
328,310
329,652
330,516
331,390
332,751
333,367
334,733
335,31
336,65
337,582
338,378
339,132
340,701
341,725
342,503
343,198
344,655
345,107
346,550
347,11
348,152
349,623
350,511
351,462
352,607
353,581
354,634
355,368
356,111
357,133
358,66
359,197
360,80
361,148
362,757
363,189
364,672
365,764
366,114
367,153
368,651
369,119
370,20
371,658
372,632
373,251
374,158
375,761
376,25
377,323
378,680
379,398
380,410
381,295
382,293
383,690
384,86
385,487
386,523
387,48
388,358
389,746
390,183
391,283
392,262
393,750
394,34
395,679
396,483
397,129
398,97
399,53
400,557
401,734
402,138
403,350
404,473
405,288
406,181
407,743
408,384
409,186
410,716
411,214
412,748
413,427
414,258
415,439
416,94
417,386
418,420
419,56
420,263
421,234
422,191
423,190
424,29
425,752
426,351
427,656
428,763
429,692
430,736
431,40
432,506
433,98
434,413
435,585
436,641
437,63
438,682
439,104
440,474
441,544
442,695
443,230
444,694
445,528
446,233
447,547
448,492
449,326
450,319
451,194
452,178
453,184
454,560
455,325
456,399
457,105
458,201
459,766
460,422
461,595
462,678
463,6
464,709
465,513
466,478
467,563
468,715
469,665
470,130
471,317
472,231
473,649
474,249
475,542
476,50
477,575
478,103
479,101
480,609
481,340
482,401
483,442
484,306
485,762
486,675
487,449
488,171
489,64
490,128
491,499
492,118
493,663
494,10
495,272
496,616
497,476
498,140
499,572
500,479
501,567
502,199
503,302
504,211
505,714
506,354
507,102
508,160
509,745
510,627
511,437
512,355
513,90
514,372
515,38
516,280
517,156
518,265
519,633
520,425
521,519
522,108
523,530
524,440
525,504
526,767
527,480
528,217
529,755
530,359
531,22
532,70
533,322
534,296
535,376
