,0
0,275
1,555
2,699
3,73
4,170
5,411
6,35
7,192
8,377
9,251
10,751
11,471
12,204
13,500
14,641
15,519
16,398
17,735
18,452
19,242
20,727
21,694
22,679
23,635
24,668
25,504
26,443
27,126
28,136
29,696
30,704
31,599
32,628
33,10
34,108
35,583
36,414
37,681
38,407
39,399
40,274
41,165
42,602
43,53
44,52
45,90
46,197
47,265
48,677
49,80
50,16
51,685
52,708
53,612
54,288
55,392
56,386
57,319
58,667
59,207
60,517
61,478
62,101
63,488
64,389
65,713
66,96
67,29
68,289
69,415
70,249
71,304
72,739
73,345
74,316
75,162
76,338
77,40
78,254
79,287
80,13
81,28
82,333
83,682
84,753
85,742
86,102
87,368
88,573
89,662
90,302
91,236
92,229
93,343
94,112
95,322
96,284
97,521
98,710
99,34
100,214
101,632
102,594
103,208
104,438
105,180
106,92
107,442
108,111
109,436
110,83
111,545
112,413
113,616
114,219
115,21
116,421
117,310
118,276
119,271
120,107
121,702
122,139
123,569
124,637
125,278
126,0
127,760
128,592
129,756
130,376
131,138
132,267
133,339
134,675
135,630
136,169
137,609
138,408
139,701
140,540
141,313
142,501
143,56
144,305
145,227
146,767
147,647
148,129
149,498
150,749
151,355
152,591
153,385
154,693
155,366
156,209
157,384
158,175
159,148
160,615
161,670
162,215
163,463
164,428
165,758
166,382
167,716
168,167
169,166
170,497
171,25
172,202
173,631
174,17
175,356
176,31
177,561
178,199
179,515
180,663
181,285
182,348
183,470
184,317
185,181
186,150
187,559
188,334
189,135
190,402
191,203
192,390
193,69
194,477
195,258
196,325
197,23
198,441
199,378
200,296
201,450
202,740
203,221
204,474
205,683
206,620
207,113
208,210
209,352
210,700
211,490
212,528
213,464
214,6
215,55
216,676
217,577
218,566
219,22
220,59
221,746
222,711
223,3
224,483
225,495
226,372
227,328
228,542
229,331
230,590
231,263
232,32
233,611
234,307
235,62
236,422
237,268
238,46
239,185
240,277
241,741
242,434
243,429
244,205
245,732
246,516
247,226
248,656
249,461
250,518
251,745
252,664
253,82
254,475
255,198
256,562
257,191
258,361
259,225
260,514
261,423
262,444
263,536
264,179
265,665
266,499
267,264
268,492
269,625
270,124
271,730
272,91
273,137
274,473
275,744
276,141
277,576
278,178
279,469
280,729
281,240
282,493
283,524
284,766
285,598
286,11
287,564
288,44
289,164
290,294
291,354
292,571
293,580
294,427
295,71
296,133
297,608
298,543
299,743
300,306
301,733
302,346
303,480
304,176
305,503
306,510
307,311
308,672
309,417
310,687
311,47
312,151
313,491
314,482
315,359
316,231
317,409
318,639
319,171
320,520
321,719
322,570
323,486
324,512
325,689
326,173
327,610
328,406
329,381
330,623
331,146
332,655
333,115
334,168
335,279
336,458
337,544
338,563
339,116
340,431
341,380
342,324
343,341
344,295
345,465
346,144
347,213
348,235
349,508
350,379
351,286
352,481
353,230
354,629
355,646
356,201
357,686
358,645
359,149
360,467
361,613
362,603
363,260
364,636
365,400
366,65
367,255
368,153
369,705
370,761
371,216
372,709
373,509
374,736
375,119
376,596
377,448
378,747
379,586
380,312
381,511
382,572
383,134
384,272
385,671
386,433
387,273
388,614
389,373
390,476
391,692
392,416
393,301
394,327
395,437
396,446
397,262
398,734
399,634
400,547
401,405
402,582
403,757
404,717
405,657
406,103
407,282
408,188
409,607
410,42
411,627
412,200
413,660
414,651
415,728
416,114
417,280
418,531
419,678
420,239
421,456
422,462
423,718
424,253
425,5
426,690
427,633
428,117
429,472
430,578
431,57
432,38
433,233
434,158
435,33
436,680
437,270
438,565
439,439
440,335
441,485
442,454
443,574
444,163
445,74
446,546
447,152
448,750
449,600
450,77
451,20
452,184
453,50
454,568
455,440
456,217
457,252
458,64
459,394
460,344
461,291
462,532
463,526
464,765
465,314
466,234
467,190
468,642
469,466
470,552
471,127
472,653
473,451
474,1
475,724
476,649
477,97
478,238
479,41
480,585
481,496
482,525
483,424
484,110
485,397
486,652
487,403
488,281
489,19
490,369
491,695
492,449
493,318
494,196
495,762
496,560
497,752
498,581
499,283
500,654
501,650
502,220
503,551
504,587
505,70
506,550
507,648
508,293
509,27
510,367
511,530
512,189
513,321
514,223
515,447
516,479
517,567
518,401
519,360
520,154
521,118
522,432
523,105
524,529
525,387
526,250
527,541
528,143
529,712
530,26
531,87
532,128
533,315
534,505
535,122
