,R,G,B,label
5981,0.4753671252130902,0.4584320565327999,0.3448396042630059,-1.0
6278,0.4855219129376094,0.4863000228764632,0.3955619661350796,-1.0
142,0.3309129553321845,0.332355717315375,0.3228054881412168,-1.0
955,0.5162838972781896,0.4959296245845973,0.4282316171247586,-1.0
1305,0.3533556921183999,0.3703780503899436,0.3110032028420409,-1.0
2272,0.4762765764973337,0.4016134510991018,0.3368242574027313,-1.0
4330,0.4521728647914563,0.4975581045220915,0.352994050059146,-1.0
5153,0.5408969119932806,0.5670812006142851,0.5295276349692648,-1.0
3465,0.5021369264054554,0.5387286052491477,0.5256850284885762,1.0
3319,0.3906582238136588,0.4100375418592272,0.44438481977631,1.0
