,R,G,B,label
5757,0.452894025236615,0.452021503352617,0.409514392080186,-1.0
5493,0.5243392988953579,0.4836450777145281,0.3842160793019831,-1.0
612,0.5776704390741071,0.5310765960192335,0.4112620341401232,1.0
647,0.56636366230636,0.5385102370985339,0.4497825700418616,1.0
1474,0.6449729421116228,0.6159947106483475,0.5523090464483497,1.0
1975,0.5794911882669666,0.4918018402350226,0.3597272451093508,1.0
4179,0.3995160195792079,0.3440847165728295,0.2839426041401052,-1.0
5047,0.4422694857136648,0.4537219126464826,0.4152425341933421,-1.0
3140,0.3855712051630662,0.3969267690587106,0.481425280793712,1.0
2903,0.4633915683336929,0.3886749857594879,0.3152699822158203,1.0
