,R,G,B,label
5468,0.589525989034693,0.5723742261001734,0.5221034075877182,-1.0
5457,0.4244319228126256,0.4977125130731347,0.4369734714328768,-1.0
951,0.4972814717504459,0.4765734025262193,0.4171104396116214,-1.0
223,0.4689889646085675,0.419646113010937,0.3049805507034823,-1.0
2331,0.3707116668285328,0.4344626078906639,0.3437440118141611,1.0
2429,0.5074014341042041,0.4359568199025479,0.3650188808180448,1.0
4807,0.4737197830800724,0.4331182951445566,0.2873626996020494,-1.0
4912,0.4503939041715097,0.5425152034855011,0.4451255308399997,-1.0
3797,0.4812947855541243,0.4724440627832642,0.4718143218357903,-1.0
3095,0.4369701564408998,0.4782769612817726,0.5464300353792827,-1.0
