,R,G,B,label
5683,0.5328155355930271,0.47465210582279,0.3901107350365022,1.0
5562,0.5414885042664225,0.5224768676157102,0.304484632371589,1.0
819,0.4876874756888559,0.4513899169447905,0.4272895939084066,-1.0
12,0.5073468220813974,0.4837106790877284,0.4569217389710908,-1.0
1444,0.4739952160903631,0.4415853306600301,0.4085066587428433,-1.0
2301,0.4024456196568326,0.3925470118418041,0.324946974898909,-1.0
5103,0.6369121379772325,0.515143194960635,0.3640794859481832,-1.0
3913,0.5280844906900501,0.5079907979490479,0.4462724500394301,-1.0
3447,0.3823596554494988,0.4928622945919779,0.6058253899151619,-1.0
2911,0.4114711615640409,0.3709285016267133,0.2646132255817575,-1.0
