,R,G,B,label
6478,0.5228806689705192,0.4814598093173017,0.4290700014806896,1.0
5244,0.4378187296872645,0.4560686453871707,0.4261228413795083,1.0
647,0.56636366230636,0.5385102370985339,0.4497825700418616,1.0
74,0.6123697394356723,0.5743972806815082,0.5364690906682235,1.0
2490,0.5357914249048491,0.5194289119712775,0.467062699030759,-1.0
2231,0.4854957502373675,0.5628167065222586,0.4541301266029669,-1.0
4863,0.5872694932573072,0.4461503786588622,0.3267974416873762,-1.0
4660,0.3236665645241391,0.3842390557803865,0.2792740131799082,-1.0
2891,0.4722777980072163,0.4991399913932934,0.5520915400487714,1.0
2953,0.3186954613291194,0.3666280396804495,0.3823927042505176,1.0
