,R,G,B,label
5380,0.4863628521998898,0.5138737031917239,0.3261052667057821,-1.0
5435,0.5154998256024826,0.4974281484159568,0.4859032342917664,-1.0
1052,0.5576868473722497,0.5317132819004422,0.5864823172152293,-1.0
1144,0.3995587936897106,0.3438966811465279,0.2928717283693176,-1.0
1948,0.4879926992830415,0.393955307251212,0.3029977971799431,-1.0
2551,0.5778534901467789,0.5671427661735691,0.4328182050673709,-1.0
4461,0.5884413539957475,0.5403037915494705,0.2838790870591057,1.0
4011,0.5259824797426856,0.4679721036679656,0.3610043607348302,1.0
2982,0.3692299036845553,0.3629184057719047,0.3146291269511925,-1.0
3006,0.3700404170992406,0.3682239329298152,0.3936364289305465,-1.0
