,R,G,B,label
5801,0.486621431061754,0.540098865619216,0.3579501070960095,-1.0
5377,0.4474967164696548,0.4236804874959164,0.4028256362048389,-1.0
1077,0.4367856714987421,0.405356894692704,0.3631779082305019,-1.0
383,0.5467738375676743,0.5037501901518489,0.4250659266352399,-1.0
2388,0.5013751999649324,0.5274864815436562,0.4038518187395661,-1.0
2481,0.4763780055230021,0.4963682936171025,0.4201678242083173,-1.0
4335,0.4666529636722197,0.4157134521154569,0.3528098561071391,1.0
4688,0.3243248341560034,0.3492486679332342,0.3207281416040494,1.0
3738,0.5276614722892407,0.4426174565221834,0.3986257319431971,-1.0
3813,0.3415902575612792,0.4155025667237049,0.4688790121261955,-1.0
