,R,G,B,label
5763,0.5499513822938067,0.5165419178109355,0.4822885660928148,-1.0
5581,0.4263951303203148,0.4427205686578082,0.3471110494943981,-1.0
1249,0.4598652505584985,0.526571703239914,0.4323155211532091,-1.0
112,0.3749603017940957,0.3905724437425977,0.3119199894722989,-1.0
1840,0.4949561390169111,0.4777296779247357,0.3913251971361776,-1.0
2285,0.5016019455828182,0.5316908938870433,0.4398193655578962,-1.0
4975,0.4828973892627082,0.4565235227708476,0.2704658067750207,1.0
4386,0.4144531971515341,0.4507454774964174,0.3421964071533496,1.0
3260,0.47912040006354,0.4587006295482803,0.4038746301956246,-1.0
2749,0.446259562381287,0.4783757392229792,0.4776912298772904,-1.0
