,R,G,B,label
6440,0.3710422161524574,0.4733714101565311,0.375317332932854,-1.0
5938,0.5306534952137748,0.5309335005898779,0.557457103176381,-1.0
1082,0.4256250868471575,0.4115242278755979,0.335874043972311,-1.0
619,0.4068090495414644,0.4138415631918374,0.3764563386236196,-1.0
1389,0.4680076257839913,0.5441482876345971,0.2957542198389876,-1.0
1814,0.5358295341206317,0.5129709522718622,0.4113653440684773,-1.0
5181,0.5112124373499866,0.5679713433184261,0.4863907512651594,-1.0
4151,0.4092212534104064,0.4266097190096499,0.2609861402603933,-1.0
2779,0.4924774737744164,0.4046479049842102,0.3656767666199161,-1.0
2831,0.4418415957127649,0.4239103540736481,0.3794634126100203,-1.0
