,R,G,B,label
5373,0.5673241064899994,0.4508565814795376,0.3615162834751838,-1.0
5779,0.4860841084364038,0.489540121953735,0.2726483009615134,-1.0
763,0.4510086350445321,0.456432783528748,0.4419831981023108,-1.0
1010,0.4856027633174756,0.4439811101231063,0.3914428872183506,-1.0
2179,0.6336247515363033,0.5078485887206683,0.3353623854950055,-1.0
2523,0.4991007458991604,0.463363870503841,0.398075970913412,-1.0
3976,0.4585874288018549,0.3818697851034158,0.2924809382193323,1.0
5002,0.3771369419811241,0.2594831777110958,0.2054029135165037,1.0
3093,0.4279364149930663,0.4458454731334615,0.3654219141297042,-1.0
3412,0.4376699928032001,0.4582933252452477,0.2612412639584882,-1.0
