,R,G,B,label
6358,0.6138867360136735,0.4939612164240442,0.3274609875981826,-1.0
5660,0.5229262725965547,0.4604365002266692,0.3237590440187041,-1.0
546,0.6974664138134613,0.6081214808759621,0.3555893962800107,1.0
120,0.4832267039901856,0.4704088952654233,0.4316375304098309,1.0
2145,0.5285629319440364,0.4730496715391127,0.4405971623392657,1.0
1399,0.4516133320847942,0.4815738759391499,0.3741632958039455,1.0
4199,0.5488222256024684,0.4677469140593068,0.4136293601297187,-1.0
4503,0.5378041230274843,0.5147419975382711,0.3836377327525422,-1.0
3125,0.4238340992274252,0.4379024522926717,0.4583592210308314,1.0
3642,0.4686300643202543,0.462574726619434,0.4512927091944174,1.0
