,R,G,B,label
5665,0.4837465492918988,0.4911070943372178,0.4353691424863637,-1.0
6358,0.6138867360136735,0.4939612164240442,0.3274609875981826,-1.0
1112,0.3617717590633375,0.4213202566808993,0.3873342433857903,-1.0
457,0.4567699135081283,0.469905960844692,0.4213416159381382,-1.0
2272,0.4762765764973337,0.4016134510991018,0.3368242574027313,-1.0
2527,0.5607922688843702,0.5170267999561654,0.4677624492148339,-1.0
4363,0.5560234147743756,0.4230705116350814,0.2810302290381414,1.0
4659,0.3762097408739493,0.4355754328358308,0.2665409740739734,1.0
3351,0.4366130605758883,0.4191948969793994,0.3527851088539088,-1.0
3540,0.3918825424906804,0.4133479707672542,0.4332480360565279,-1.0
