,R,G,B,label
6416,0.5515744927017228,0.5587534563084732,0.4698997857060051,-1.0
5939,0.4688301194485563,0.4075201757784688,0.285860066032831,-1.0
21,0.4629490287430788,0.421363689184351,0.3803631390550808,-1.0
495,0.4942647023150297,0.5216928110690575,0.4463526158365913,-1.0
1491,0.3917763678369595,0.4241256213142708,0.3828667605926795,-1.0
2550,0.4774108972600754,0.4266194365839137,0.3565169374926133,-1.0
4033,0.5309996025086581,0.5245122428371125,0.3842349018154872,-1.0
4521,0.527752786034701,0.4511347869751126,0.3860257376983669,-1.0
2661,0.4695886283438774,0.4882450984769102,0.4665900701099226,-1.0
3127,0.4616272677295217,0.4599848818031886,0.4552272310793476,-1.0
