,R,G,B,label
5241,0.5087691518358701,0.4562974596888502,0.386095539858696,-1.0
5517,0.5069762048153726,0.4389020560785645,0.3365050903596202,-1.0
1122,0.5262562301064005,0.5332997213398771,0.4992534580243914,-1.0
982,0.5264907507040045,0.4982678778444532,0.3785232915408877,-1.0
1485,0.4567402458822225,0.4452301007594082,0.4229356781320426,-1.0
1341,0.5768391026607655,0.5872522285189954,0.5127290874271538,-1.0
4031,0.6224161010558069,0.5517599924585218,0.3138423831070889,-1.0
5033,0.4710557153984092,0.4983397968667341,0.4388524531213102,-1.0
3614,0.5917095908455535,0.5198671481996876,0.4586630184047928,1.0
2984,0.3667970762847424,0.4016389118855912,0.4280334278436745,1.0
