,R,G,B,label
6061,0.4959376032908968,0.4510121920462681,0.4501228916908298,1.0
5212,0.5056983532129385,0.4610450442121158,0.4647026254106636,1.0
1072,0.465719244329738,0.4245070688686329,0.3444824036639763,-1.0
1212,0.3776051398548083,0.3646954709127621,0.3320386965910656,-1.0
1443,0.4350452819441058,0.4559836150289191,0.4033509979858035,-1.0
2307,0.4876597187299061,0.4684601951026679,0.3988324614010463,-1.0
5072,0.4467184893142507,0.4070878432349644,0.3189040908502432,1.0
5084,0.4707541035731646,0.3662973826293273,0.2357328187313934,1.0
2929,0.351100460490053,0.4136967484499986,0.4519573626772875,-1.0
3551,0.3995935813507518,0.4443805421411035,0.4850627409921904,-1.0
