,R,G,B,label
5218,0.5,0.5,0.5,1.0
5773,0.5288076402756148,0.4807855322008402,0.4969116182893875,1.0
787,0.4673061586111025,0.4434839780585567,0.3841651298516549,-1.0
1207,0.4051034524239143,0.5162304185477872,0.3700451959925074,-1.0
2158,0.4531636623476189,0.3747107575068905,0.4511316391413651,-1.0
1329,0.5795508278480982,0.5753518519184243,0.4554848156949023,-1.0
4615,0.4414872247481231,0.3627705680314633,0.2309727258411047,-1.0
5114,0.4363739727237916,0.4211403379579173,0.4151889599104539,-1.0
3567,0.4516475000941736,0.4675897474532764,0.4480863024928204,-1.0
3329,0.4352383266641534,0.4353872287854219,0.425202081450293,-1.0
