,R,G,B,label
5914,0.4179341844724124,0.4029708430185887,0.3510141305840005,-1.0
5825,0.5040721510038576,0.4681122574801702,0.4490252126462292,-1.0
871,0.5827187765430779,0.5441023617648597,0.4305192997180028,1.0
1194,0.5558278105762854,0.5008727561474688,0.3161115718302977,1.0
2278,0.5644587456090956,0.4919952490689783,0.4186015669239298,1.0
1589,0.5643285195170941,0.6025399337284622,0.4267616160253637,1.0
4696,0.545201160965549,0.5444937251665616,0.4824532679003028,-1.0
4453,0.4915277531695409,0.4777201945035042,0.29637889794472,-1.0
3146,0.4367566387639275,0.4779123027571293,0.5118999852528694,1.0
3249,0.5452507392988933,0.4968176150206173,0.4281210168327352,1.0
