,R,G,B,label
6460,0.4168941129884613,0.3952510450301984,0.3543930089978871,-1.0
6120,0.4491698302439801,0.4853565202278861,0.4744698315112214,-1.0
1092,0.383003410131966,0.3928261198484312,0.3886790934469268,-1.0
1271,0.4901462312658813,0.4901270327893621,0.4367409768236507,-1.0
2088,0.5789377269756929,0.5088210297777825,0.4312479244110683,1.0
1918,0.6049640777571481,0.5788443856867467,0.4857303580141048,1.0
4242,0.6223902095597598,0.4963308018394524,0.3822213034946599,-1.0
4901,0.3387722105795194,0.3595997016213391,0.2850893233423866,-1.0
3814,0.6383372043418496,0.6201063342339352,0.5811209334660536,-1.0
2885,0.402015417479335,0.4107180027207315,0.3895088614994618,-1.0
