,R,G,B,label
5550,0.3784741475813077,0.4319346090828134,0.3043896670304337,-1.0
5260,0.4028149331004834,0.4022060277180535,0.3441851130840894,-1.0
675,0.2324136927498271,0.2718194550547492,0.2815709920331769,-1.0
295,0.4700383832877147,0.4595442157302392,0.4364052943563125,-1.0
1948,0.4879926992830415,0.393955307251212,0.3029977971799431,1.0
2275,0.4611600410737861,0.4558567502811599,0.4615506723387609,1.0
4147,0.5334682256810999,0.4529448588766335,0.361804534010896,-1.0
4284,0.624345561318518,0.5168836277635623,0.2414505555732259,-1.0
3162,0.4671583173328679,0.4659990108803165,0.4529629952871356,-1.0
2755,0.3043585253892385,0.4621102462213442,0.542811025741623,-1.0
