,R,G,B,label
5857,0.4940098410422746,0.4521253319807671,0.415213375432581,1.0
6294,0.4598323281425114,0.4825823859147237,0.3281668534558744,1.0
579,0.4639436229163839,0.4806692020650924,0.4558700039308117,-1.0
4,0.5054750760025093,0.5176792291978318,0.4222798225114492,-1.0
1763,0.5443976763282146,0.4735059035434504,0.3882914986325499,-1.0
1409,0.4638574638697829,0.3946161128791249,0.3111699688601445,-1.0
5151,0.5728377811932375,0.5565924151032021,0.4830404097758779,1.0
4227,0.5741938617581926,0.4720056697377745,0.2921946168400925,1.0
3367,0.5216372649957174,0.5566855996700784,0.3017324851693877,-1.0
2702,0.4718145125485353,0.4924591335093115,0.4116813180603653,-1.0
