,R,G,B,label
5375,0.5783449970622023,0.4976834392726562,0.3845250333321732,-1.0
6107,0.4894155510258761,0.3657251404427909,0.2760634786173194,-1.0
810,0.3642042625389586,0.3523642863631675,0.3248362597904317,-1.0
828,0.4960818504540893,0.489441286706493,0.4440179631470169,-1.0
1479,0.3921464990712553,0.3862960343572871,0.3130347684174442,-1.0
2269,0.5716567151727507,0.5326955123284253,0.4566402999399194,-1.0
4287,0.5027330447291644,0.5409974935748298,0.4337824341680564,1.0
4033,0.5309996025086581,0.5245122428371125,0.3842349018154872,1.0
2790,0.480614623320219,0.4545003241185206,0.3857335721625873,-1.0
3151,0.4992941554914947,0.492443244409591,0.393456391841289,-1.0
