,R,G,B,label
6099,0.4045981080496391,0.4633786654079886,0.3838176293586642,-1.0
5878,0.5126345565306378,0.5261333235774291,0.4094112972354714,-1.0
237,0.587926853533111,0.5134221455058497,0.4655395011721714,-1.0
272,0.5107008092239257,0.450838413802163,0.3699564466717329,-1.0
2296,0.3610124080420963,0.3890105260671251,0.3540836166466855,-1.0
2117,0.5200238808006892,0.4583646768842378,0.4416751528797686,-1.0
5177,0.3655349576724297,0.3460486731413734,0.201883506607305,1.0
4670,0.4667708201792304,0.4094207661597143,0.3392997646022685,1.0
3086,0.3204981880284917,0.3439093336338993,0.3690355019001811,-1.0
3613,0.4940617814366872,0.4451928127267993,0.3798920068837669,-1.0
