,R,G,B,label
5657,0.54044014598191,0.4844230346646544,0.321648928193298,-1.0
6107,0.4894155510258761,0.3657251404427909,0.2760634786173194,-1.0
1237,0.5002255491973585,0.4783859639688892,0.4806589322710116,-1.0
305,0.5949409329524079,0.4440965128289173,0.510339800453981,-1.0
1921,0.4938943435381058,0.4209581868685627,0.3673223027086656,1.0
1904,0.4933949115684392,0.4501679945170829,0.3708925706612339,1.0
4399,0.5579561059461292,0.5088052590119955,0.3865267880565627,-1.0
3954,0.5124947081105169,0.5032352941176471,0.5041900623885918,-1.0
3189,0.3745523006015155,0.398295758143895,0.4419941150430956,-1.0
3680,0.4363066023325893,0.3939421227478016,0.4298404101882868,-1.0
