,R,G,B,label
5398,0.5768393342476628,0.5616619694252285,0.4716504649515456,-1.0
5646,0.4605312144530124,0.462511932728409,0.4776629844134761,-1.0
121,0.4865045689629401,0.4466973589367985,0.3867389462984922,1.0
1280,0.4840733516467257,0.4758206572698503,0.4519667450439276,1.0
2063,0.4679619060243492,0.3408626527100559,0.3114731314153788,-1.0
1582,0.4489199159311703,0.5301083092585717,0.3638535310843411,-1.0
4923,0.4502653038662927,0.47215734515231,0.3825070300800997,-1.0
4713,0.5891496086576128,0.5003644121456703,0.4454347767066985,-1.0
3771,0.2771368995359338,0.4684964533076912,0.6687263960310493,-1.0
3296,0.5363625846908316,0.484183610796061,0.4254853063419882,-1.0
