,R,G,B,label
5551,0.4306626731561213,0.4909608650648578,0.4294962597543697,-1.0
5763,0.5499513822938067,0.5165419178109355,0.4822885660928148,-1.0
1154,0.5504219959820651,0.5044236175248938,0.3856814383815209,-1.0
619,0.4068090495414644,0.4138415631918374,0.3764563386236196,-1.0
1846,0.4356475285468773,0.3989256010408472,0.331989029847315,-1.0
2438,0.5400067069748339,0.5962921084283949,0.3059117539844492,-1.0
5196,0.5687715606567831,0.4264859086980962,0.2934610653846476,1.0
4168,0.5020107581138692,0.4974848946507009,0.4068325829176936,1.0
2828,0.5135711550331767,0.5614339147748628,0.4078990049863837,-1.0
3015,0.5079748400210643,0.4446461258868205,0.44142279418082,-1.0
