,R,G,B,label
5736,0.3713047419714645,0.3359193249010564,0.2652850092376067,-1.0
5333,0.4945774914640057,0.4036718681708735,0.3220169934051884,-1.0
339,0.52869622217193,0.4931125845367782,0.3570261607814592,1.0
1203,0.4736831671882704,0.3767313901423073,0.284866922884407,1.0
2305,0.3954609374864784,0.4007348830608242,0.3595281240751222,-1.0
1502,0.560914162066903,0.5384725206239971,0.44277763913036,-1.0
4191,0.5444194800967471,0.5211727513895339,0.4042261117095168,-1.0
4083,0.3958285768478287,0.3378855094913107,0.2454728210027666,-1.0
3746,0.4206306941665826,0.5595564447131107,0.728116729115592,-1.0
3693,0.3694305355993865,0.3647968341049719,0.3601331378838236,-1.0
