,R,G,B,label
5647,0.586892688371816,0.4870469802942612,0.4132771391510965,-1.0
6163,0.5,0.5,0.5,-1.0
527,0.5014155577845407,0.5168028021311534,0.4586586377552825,-1.0
313,0.5285710539745164,0.4810319011532878,0.407191895720672,-1.0
1888,0.4840331446386086,0.478410666916697,0.3557005731162758,-1.0
2515,0.5416586585167331,0.4795047272024111,0.4632986411320203,-1.0
3926,0.541194267613166,0.5242828482335434,0.4365133301752338,-1.0
4858,0.4573344988011829,0.4573454313309252,0.4580359860765708,-1.0
2724,0.5396138701382193,0.6081529251044681,0.7170897621343619,-1.0
2636,0.4309462833303994,0.3973099833620097,0.3760219114192641,-1.0
