,R,G,B,label
6139,0.450169306063844,0.4465555224603917,0.3309410389983691,1.0
5879,0.5786016813104282,0.5337466810731127,0.4905909993215568,1.0
957,0.4573031145700993,0.4292598416802153,0.3659680576655976,-1.0
1228,0.4445926477751354,0.4443369912991987,0.3824439796376417,-1.0
1340,0.601569870344676,0.4675703937941362,0.3049994203813054,-1.0
2596,0.5185572216566298,0.5131833650640268,0.4071314877764932,-1.0
4157,0.4330130207361133,0.4763100586119787,0.4249908950252408,-1.0
3973,0.2832971602065692,0.4255872844942706,0.3035503507276289,-1.0
3363,0.4645438922695515,0.4577800516758428,0.4459211701922148,-1.0
2896,0.4644392348311432,0.4389040299028121,0.3830218150255924,-1.0
