,R,G,B,label
5397,0.5069925866888385,0.5050636170497137,0.4823962353728343,-1.0
5590,0.5455298503875828,0.4961630683993862,0.4164717213974435,-1.0
300,0.4954349210704624,0.4344203648428044,0.3682888786089842,-1.0
903,0.3915557631065596,0.4018227698375636,0.346513273285843,-1.0
1961,0.5986136173312236,0.5490587014476292,0.3871698905173318,-1.0
2078,0.4437380518304729,0.4077994343425753,0.3550375579285055,-1.0
4387,0.4863478214370114,0.3827327816848566,0.2479045810283293,-1.0
4469,0.4728888728816697,0.4164666264485283,0.2834580395758487,-1.0
3371,0.2452727138534209,0.295918517971806,0.3553995933950174,-1.0
3492,0.4044414870020406,0.4010123325348239,0.4017167953154112,-1.0
