,R,G,B,label
5261,0.4611932941892659,0.4370874642504181,0.3110849420787777,1.0
6303,0.5143055629814187,0.483615456726228,0.3942510274424257,1.0
1073,0.2578356338708758,0.2693888943913705,0.2532879078464388,-1.0
142,0.3309129553321845,0.332355717315375,0.3228054881412168,-1.0
1494,0.4777077446931826,0.4750933087862399,0.4051146596434705,-1.0
2000,0.6274667106580883,0.5268754592854393,0.4592709754931122,-1.0
3917,0.4325234014803117,0.4317630291366405,0.3088924829261123,-1.0
4721,0.3887743172480964,0.4539961160324755,0.4139969328687133,-1.0
2881,0.3171609257416689,0.3789838891359802,0.5074773911435335,-1.0
2918,0.5126306841962194,0.5422482643758009,0.5770458935426294,-1.0
