,R,G,B,label
6187,0.4596930632921818,0.4915886711765049,0.3242793353994845,-1.0
5243,0.4475291812247715,0.4346630145767308,0.3071802646570332,-1.0
232,0.5155408194768587,0.5113130421788051,0.4929402065075059,-1.0
507,0.5410416530132663,0.4286293858622551,0.2782564529870519,-1.0
1653,0.4897532257024538,0.4763547875764193,0.41038605561786,-1.0
1446,0.5185931032778581,0.5001724798299911,0.4638109887937531,-1.0
4429,0.4042524026037258,0.4804454024064739,0.2102610342494313,-1.0
4628,0.5587140477302271,0.478265151801978,0.3761599694587124,-1.0
2859,0.3661662044730556,0.3894841779506562,0.3791044802200355,1.0
3256,0.4107916197211162,0.4589735136525509,0.5039161344158283,1.0
