,R,G,B,label
5208,0.4620092322121214,0.4616209106243176,0.344729610361414,-1.0
6122,0.4611907715604023,0.5039286286890996,0.2998830394713092,-1.0
318,0.5342881595027507,0.5021221582770338,0.4492501006320781,1.0
855,0.5926011826382237,0.4856274943648996,0.4586743023399884,1.0
1624,0.5271600264634676,0.4552873755919578,0.3123780706545742,1.0
2396,0.3066389190740778,0.3072550386484325,0.2807454944333955,1.0
4423,0.6056176610798111,0.4857884489008156,0.4017668882795516,-1.0
4202,0.4904709286822636,0.5065449453956516,0.425474026487299,-1.0
3305,0.3652540384272426,0.3650588047569434,0.3885052422117722,1.0
3048,0.4226263910969793,0.4133867200533867,0.4146248208993307,1.0
