,R,G,B,label
6468,0.3738565940480191,0.3324081932401957,0.3042232899284206,1.0
6400,0.4937645360167446,0.4420990968036179,0.401009769599408,1.0
934,0.3816335467667001,0.365543311882202,0.3002936056225679,1.0
922,0.5005233836042741,0.4451645697124576,0.3324418557656137,1.0
1891,0.4660373900926973,0.4969639134087774,0.5033931232517694,-1.0
1785,0.4207081150897963,0.4734976731506902,0.4380747837036171,-1.0
4985,0.5054576987469552,0.4873898438359135,0.4006422829073537,-1.0
4672,0.5407907425265188,0.3304756994503693,0.2835314486125566,-1.0
3765,0.6437953900272204,0.5238522093146444,0.4687013938886835,1.0
3710,0.3705477834656744,0.4090525853235838,0.4984355204014793,1.0
