,R,G,B,label
5361,0.5124496320056809,0.4750568558337703,0.168949600159367,-1.0
6180,0.5108221360076399,0.5157273597105837,0.4265687974904019,-1.0
3,0.581644880174292,0.5726092191262471,0.5495499369338379,-1.0
501,0.3519895601176657,0.3867125013044687,0.2399809056783908,-1.0
1798,0.5096438035623334,0.5128451179693863,0.4053658908663226,-1.0
2327,0.6483593912123247,0.6183710816253736,0.5076791169934887,-1.0
4606,0.5233719484019258,0.4914006777438427,0.3725555640163953,1.0
4771,0.6086103765792436,0.5525454616009923,0.5064177170598365,1.0
2864,0.406080728811748,0.3773647290730763,0.252474549695427,-1.0
3541,0.4584324998993437,0.4675326864489807,0.4612582840117566,-1.0
