,R,G,B,label
6320,0.5184610260219542,0.5442836593446759,0.375528869395022,-1.0
5880,0.5024661156207916,0.4947638286568566,0.4881253320483834,-1.0
479,0.4960148945074213,0.4138229337536541,0.2974971668056536,-1.0
1264,0.471880904658456,0.5940151887599814,0.5520403418171325,-1.0
1461,0.6373183023628548,0.4401803926827889,0.3665595092056805,-1.0
1594,0.4452741970003786,0.4675440362801453,0.4313015033566226,-1.0
4408,0.5773047107459258,0.5162673989704778,0.3106690180525542,1.0
3994,0.4946980185182177,0.4148630687968212,0.3396315008251913,1.0
3594,0.4003287825972405,0.4144102698809742,0.3406740937246014,-1.0
2897,0.3263250337458733,0.3261629451338179,0.3509326871472947,-1.0
