,R,G,B,label
5750,0.5,0.5,0.5,-1.0
6371,0.540721220245349,0.400843954447487,0.3979221922744237,-1.0
444,0.4825157473720235,0.5018892026111655,0.4162831502215537,-1.0
436,0.4803833521886261,0.7131582033813271,0.3128201038951547,-1.0
2117,0.5200238808006892,0.4583646768842378,0.4416751528797686,-1.0
2091,0.5149596307931603,0.5092579204967703,0.3553476583372008,-1.0
3936,0.4152686544222777,0.5457175090121835,0.3919807730987155,-1.0
4823,0.6173403758278925,0.606043388645355,0.341812821803572,-1.0
2980,0.3892606453860205,0.387982348485769,0.3975630946450053,-1.0
3226,0.4462229315731811,0.5173666247368113,0.6304311561368627,-1.0
