,R,G,B,label
5587,0.4733097026182469,0.4975366341668659,0.4135705082218139,-1.0
5896,0.5263034062995742,0.4812868434635056,0.4321741937377117,-1.0
861,0.6063895698114112,0.5400777641684124,0.3524206046155917,1.0
763,0.4510086350445321,0.456432783528748,0.4419831981023108,1.0
1388,0.6337861984272053,0.5533127499913184,0.469190020236077,1.0
2061,0.5291179802602942,0.494729036310453,0.4664823424488748,1.0
4675,0.635986632846157,0.5095487506075846,0.323345779701042,-1.0
4558,0.5358053474785041,0.513521866287268,0.3125452039200315,-1.0
3829,0.3884214302378378,0.4918211320521215,0.4632374473095136,1.0
3200,0.667704711916961,0.6268281764074625,0.4970740258770017,1.0
