,R,G,B,label
5362,0.6008997979816627,0.5288095553596829,0.4438233656962622,1.0
5857,0.4940098410422746,0.4521253319807671,0.415213375432581,1.0
1057,0.4271263251598283,0.4426417034402982,0.4164447554533669,-1.0
497,0.4380406291370252,0.4362955222637423,0.4427952503006738,-1.0
1796,0.5015723970016622,0.5200920656107805,0.2825285960586567,-1.0
1441,0.4355438508243291,0.4031186821053038,0.3544727873060094,-1.0
4530,0.6277762833213489,0.5178970928798923,0.3402340146330276,1.0
5188,0.371572495371054,0.382637827722505,0.2241354863750422,1.0
2747,0.4529133019921871,0.4344281122935712,0.3451932182099734,-1.0
2776,0.60450914372483,0.6169585679389601,0.6812988899263409,-1.0
