,R,G,B,label
6029,0.4741801341056171,0.5053495456833293,0.4175674306915805,1.0
5697,0.6309253631137567,0.5960231492304793,0.5591452981206071,1.0
904,0.4868685681616059,0.4491213526447296,0.4008383094058357,-1.0
1298,0.4356680184972882,0.4301504422177352,0.3779455763146753,-1.0
2456,0.6101519998044292,0.5542855369826074,0.4870825552816312,-1.0
2328,0.3901518643600091,0.4074064698499087,0.3372688132869128,-1.0
4272,0.5607757275478922,0.4879571019634721,0.3242151860363367,-1.0
4262,0.5602385100322792,0.487226266357293,0.4189264066808408,-1.0
3588,0.4690984386621316,0.4378731303905975,0.3062968573834431,-1.0
3707,0.3039276032954114,0.3721758357411658,0.4502238861813345,-1.0
