,R,G,B,label
5419,0.5154843190682267,0.4533864045163933,0.3886014496625171,-1.0
5766,0.4651711476102734,0.462386094215389,0.4501491886751333,-1.0
135,0.5026840577213956,0.5170276162546567,0.508127053522049,1.0
56,0.5156202949319315,0.472024594611818,0.4085678183160595,1.0
2543,0.5050019862063245,0.5041585189301017,0.4669310412762636,1.0
2531,0.5739329928721778,0.5054494225002077,0.2952984633924275,1.0
5199,0.4881495484685913,0.4596204172475358,0.2829299978851324,-1.0
4757,0.5352869411286272,0.522985705058762,0.3253803459841304,-1.0
2700,0.4622743890060516,0.4225104817318387,0.4229423341168418,1.0
3679,0.5535100969455347,0.544973469637627,0.4811481036672017,1.0
