,R,G,B,label
5610,0.4537833635656906,0.4657636222290278,0.4751946453391129,-1.0
5712,0.5486551589156847,0.5093643249902752,0.419801136049889,-1.0
1084,0.5408981036668044,0.506470704313637,0.3844387584481541,-1.0
29,0.5695557743457113,0.5690843631981897,0.4876848246168315,-1.0
2138,0.4516469796763299,0.4633586639392402,0.3427263548617218,1.0
1825,0.3426485765774074,0.3166235931958517,0.2071044714181969,1.0
4753,0.4600322309497325,0.5225168950578938,0.5045239550927438,-1.0
4225,0.4896124360617445,0.4479569062898552,0.3408214270512778,-1.0
3177,0.4740341254928457,0.4581214566078673,0.4290992580358596,-1.0
3601,0.4593677912341407,0.489536476355248,0.5116018533081682,-1.0
