,R,G,B,label
5977,0.4836193737111621,0.6006425853318303,0.6105527842682997,-1.0
5530,0.5446455871141859,0.4518897128468131,0.3348756385220939,-1.0
1208,0.4894212580731493,0.420990541980377,0.3610115485802871,-1.0
17,0.4735331367144191,0.4455977667830896,0.4168902366876871,-1.0
2170,0.5695829726289294,0.6130604429594844,0.3391875247908879,-1.0
1921,0.4938943435381058,0.4209581868685627,0.3673223027086656,-1.0
4617,0.5592736624046877,0.5236544464685855,0.4032691155416565,1.0
4051,0.3973430058638182,0.4930508779626965,0.3869506324118324,1.0
2837,0.3780026662702311,0.3831263529266727,0.410148264446628,-1.0
2908,0.3531821051209742,0.3581128725917472,0.3622855693662253,-1.0
