,R,G,B,label
6104,0.4832610284399247,0.4812546065214348,0.4783310786646142,-1.0
5314,0.5072924457489909,0.4969874251492983,0.3215879806118958,-1.0
16,0.4797009991736158,0.4493715683447193,0.3690534871716576,-1.0
590,0.549337533774206,0.5470220841361035,0.4904594738456019,-1.0
1884,0.5660372321207437,0.5172578475225013,0.4371127537857914,1.0
1335,0.410422718187468,0.4659161254638227,0.3646133314774319,1.0
3905,0.5052462456554527,0.4173926159092399,0.4114561610597416,-1.0
4654,0.6166792823636993,0.5383771167337378,0.4268428760683831,-1.0
3053,0.3524517760475888,0.3574908788954567,0.3064247006165606,-1.0
3589,0.4399533731404315,0.3855010088993084,0.3232800170699862,-1.0
