,R,G,B,label
5621,0.4912488551258109,0.4622729039510725,0.4314197684284221,-1.0
5607,0.3036778556312985,0.3116567953351203,0.2555575023484326,-1.0
8,0.4183685128367207,0.4110667905437128,0.3051482516617668,-1.0
1220,0.5537992222712771,0.5253722147808366,0.4278316135002531,-1.0
1379,0.6271364285646331,0.5891177354008076,0.4305488755424537,-1.0
2388,0.5013751999649324,0.5274864815436562,0.4038518187395661,-1.0
5121,0.3864507172769256,0.3075297909341299,0.2094613402221684,1.0
4280,0.4850375604006529,0.5470092152468181,0.488242093666297,1.0
3185,0.404665444020409,0.4030436373924002,0.37664603203808,-1.0
3283,0.4129099273392975,0.458277656361838,0.3404540015376287,-1.0
