,R,G,B,label
5872,0.3085626532550129,0.3072499138760126,0.2687406811815196,-1.0
5925,0.4784838119839752,0.4657089899213659,0.4324631390821472,-1.0
44,0.4293961258035815,0.4544739407300786,0.2801663797004012,1.0
13,0.3948823572591335,0.4238230328466996,0.4899813320321889,1.0
1881,0.4914917895972699,0.5191027860523421,0.3397130286641801,-1.0
2553,0.5179372553671436,0.4708434655964361,0.299064401071316,-1.0
4516,0.4904202938908121,0.5386185313355911,0.3544999408710501,-1.0
4900,0.4978391612781719,0.4437617686057638,0.3771645008056584,-1.0
2660,0.4744587971759265,0.4266728956722708,0.3993826638118345,-1.0
3887,0.4828024198917891,0.4546688218699871,0.458397405561326,-1.0
