,R,G,B,label
6016,0.511697269047111,0.4594805255406823,0.426258143932526,-1.0
6353,0.4403617525168725,0.501115302711481,0.4103928186943824,-1.0
1119,0.4799398288884014,0.4721816871273138,0.4509282552561878,-1.0
536,0.4868178829717292,0.4888177712461272,0.4778093617460133,-1.0
1345,0.5712398858072396,0.5222646220050635,0.3079771165804588,-1.0
1698,0.5272093985937134,0.4910716453227902,0.4511973045605872,-1.0
4552,0.5609035599844758,0.4499642618010387,0.3436394132671769,1.0
4964,0.3304301003690801,0.3207825385906909,0.1876409198156818,1.0
3799,0.3890857043475348,0.4384504464596621,0.5224564852628162,-1.0
3244,0.4368392305517922,0.4093691051746643,0.3967097654063635,-1.0
