,R,G,B,label
5225,0.5293706905320142,0.5051659087812136,0.4201838749531112,-1.0
5407,0.493171747614458,0.4450658297087445,0.3662643332305891,-1.0
933,0.5876641571253368,0.5458932743695561,0.4095693794181803,-1.0
1146,0.5913295025966077,0.516819822087949,0.3679617617439725,-1.0
1782,0.5817511645288244,0.5322837635218183,0.3351596693813725,-1.0
2302,0.5202674125205637,0.504719573014391,0.3698287185244467,-1.0
4260,0.6167879232229804,0.4855765796251386,0.2876346511759066,-1.0
4530,0.6277762833213489,0.5178970928798923,0.3402340146330276,-1.0
3468,0.4635685221186454,0.4561950296876896,0.4393365894763837,-1.0
3453,0.5028638159198318,0.5113812336372949,0.163049143974941,-1.0
