,R,G,B,label
6443,0.5605292768925454,0.4800396267252397,0.3765908171326179,-1.0
5827,0.5627115934412624,0.4579275790461904,0.3308834159043095,-1.0
5907,0.5562291899424093,0.4865605455281652,0.3850908509514051,-1.0
6383,0.4985357040911496,0.482494784523592,0.3795013982539986,-1.0
5544,0.516315882692324,0.5165873889581796,0.4739167854506579,-1.0
6004,0.5,0.5,0.5,-1.0
6201,0.4765999030657026,0.5063727044959189,0.3919546606200893,-1.0
5598,0.4822239801815645,0.4476565956705055,0.2652504704520181,-1.0
5993,0.3964756638143127,0.4288359752178016,0.4396226443766687,-1.0
6051,0.4720939462007985,0.4322539097949259,0.2779299451530713,-1.0
6462,0.3275007464914899,0.3218008692478684,0.3237052519823497,-1.0
6114,0.6515241307815154,0.5734208646436951,0.500582873389346,-1.0
5424,0.4444863238752005,0.4620660719731529,0.5473900880076717,-1.0
5403,0.3817985367348893,0.3920708549840024,0.3247506313184967,-1.0
5770,0.4827208228537107,0.5040855318427351,0.3687843378884903,-1.0
5355,0.5141438366958649,0.4951940296796784,0.3176012842664466,-1.0
6017,0.4973998320679297,0.5387016603987796,0.4223877693417536,-1.0
5984,0.5336484478149947,0.4202657137217758,0.3182488687450575,-1.0
5432,0.4195095223018231,0.4409569165536086,0.3410622915535403,-1.0
6185,0.402813075257262,0.4045685628950114,0.3187052550515046,-1.0
271,0.5545274226284501,0.524482239533408,0.4245272426161192,-1.0
105,0.4115004542998178,0.4472173744789328,0.458512313685414,-1.0
574,0.5957385218375005,0.592989765419799,0.5976614792280467,-1.0
723,0.5455289824415673,0.5725547635537794,0.5190003472141678,-1.0
446,0.4396815976422906,0.4713775835000925,0.4547687436117895,-1.0
744,0.316072348801649,0.3579508494479222,0.3682118086355611,-1.0
113,0.6476509525565688,0.5890104665060434,0.4829993333539121,-1.0
834,0.6496467119330331,0.519086654383331,0.4562613734588963,-1.0
470,0.4651420286911015,0.4352173355775462,0.3716166313590063,-1.0
958,0.4771421992187406,0.4894430962113456,0.4871983477582343,-1.0
1098,0.6135530279158493,0.4515843489633628,0.3955380043844046,-1.0
669,0.3989601401594727,0.4121938513789412,0.3664248529042105,-1.0
1101,0.3779158370890354,0.3920696288086044,0.2748763330665001,-1.0
741,0.4198160106404306,0.407187580248999,0.2789009438348719,-1.0
1000,0.5810151696494176,0.5282608432836724,0.3657423564068361,-1.0
1251,0.4847100340879293,0.477059551903971,0.41755892550185,-1.0
608,0.4646300402762903,0.4214767874362859,0.3394074393374483,-1.0
197,0.4492646667805312,0.4448882657622571,0.4130227209737793,-1.0
526,0.5189602405886612,0.505539302803973,0.4697449912854645,-1.0
1089,0.55859217919086,0.5760559706153164,0.6124327807677555,-1.0
1618,0.5970209612193276,0.565169628519718,0.550728603319352,1.0
2135,0.3137678773691762,0.3096532004329331,0.2065434317501069,1.0
1760,0.4759678306912813,0.5152488990884275,0.5783321036820245,1.0
1580,0.4002945978951412,0.4792600063118319,0.2789633502106231,1.0
1943,0.5776251997265851,0.5788918994177866,0.4049161005995661,1.0
