,R,G,B,label
5494,0.5208634535494739,0.4896826402295786,0.3970485812377604,1.0
6418,0.509990588879549,0.5579035500390301,0.3922824369164737,1.0
5581,0.4263951303203148,0.4427205686578082,0.3471110494943981,1.0
6162,0.405351804684794,0.4925039772571833,0.3908020218516143,1.0
5223,0.5124713168071262,0.5545863423907185,0.4049683142342608,1.0
5480,0.4357821144648243,0.4649785428655028,0.4278819398626514,1.0
5901,0.4937476336200912,0.4560686661328062,0.4060132563385679,1.0
5456,0.3047255006262866,0.3230624228994272,0.3023293973520546,1.0
6254,0.4856399950092616,0.4271351050454445,0.3557804459032757,1.0
6059,0.5650102433399995,0.5791761764230243,0.5411590060533151,1.0
5517,0.5069762048153726,0.4389020560785645,0.3365050903596202,1.0
5556,0.3821101364424167,0.4612482165982203,0.4448947498936511,1.0
5594,0.5394858485013578,0.5174100804730587,0.4086982624369743,1.0
5583,0.4346957000780957,0.4510716295342993,0.3615025458964318,1.0
5370,0.4297806692355622,0.4357838089967036,0.4278775980479179,1.0
6209,0.4816536822389315,0.4998062353690898,0.4046451806380142,1.0
6434,0.5,0.5,0.5,1.0
6101,0.4555957636108544,0.4317386989699894,0.3715108818396468,1.0
5654,0.5251292099733061,0.48524884821879,0.4696479341438398,1.0
5246,0.5,0.5,0.5,1.0
1051,0.5467024973910501,0.5344754228444238,0.5063936205082141,-1.0
632,0.3525770942035808,0.4785531301442584,0.4120918820693812,-1.0
1268,0.4962432870535066,0.4718219227720905,0.3649773509583857,-1.0
6,0.4922477685103892,0.5149520778460639,0.5147934957565116,-1.0
190,0.5351581241556387,0.5245198802779582,0.49973831329258,-1.0
1116,0.5828872044359835,0.5044599850678659,0.4398208433661628,-1.0
714,0.4055933523597273,0.4505694596598131,0.4539232142381372,-1.0
357,0.4892808764041798,0.4144783778725778,0.3281486055014767,-1.0
136,0.4543856730143844,0.4673362273682936,0.5712653588048746,-1.0
361,0.5531966559497694,0.5764514361410658,0.6361541885452744,-1.0
934,0.3816335467667001,0.365543311882202,0.3002936056225679,-1.0
831,0.4971610894468521,0.4853166262813999,0.4415695393763588,-1.0
786,0.5560644640701609,0.5523878027611143,0.5573213469117831,-1.0
859,0.3740921334240144,0.4013677075768579,0.3124290594152613,-1.0
1102,0.5338823479670914,0.4471859528523061,0.259327321322576,-1.0
606,0.5260195609843682,0.4866715566807846,0.4201885207150556,-1.0
634,0.5376612605125458,0.4671529618698835,0.4413129803604492,-1.0
68,0.4330445025003424,0.4067775053520036,0.2777911758950408,-1.0
1131,0.4858641915542216,0.4771605155604064,0.4827330393477157,-1.0
223,0.4689889646085675,0.419646113010937,0.3049805507034823,-1.0
2432,0.4860720706591035,0.4622315212561102,0.4542144809338341,-1.0
1574,0.5549560220402509,0.5354254690598713,0.4421722440443679,-1.0
2059,0.5309790920207796,0.5173228208044327,0.4619589800432429,-1.0
1371,0.4516373075111989,0.4211529944658281,0.4065661930234949,-1.0
1457,0.4507152359498352,0.421272189949537,0.3528537707955876,-1.0
1405,0.5341662291731717,0.6133231213278444,0.3448916716047636,-1.0
1715,0.41965098161421,0.4392634074508582,0.4121139686787772,-1.0
2051,0.4312434319838074,0.5395084278374883,0.3052052111732005,-1.0
1858,0.5408258382566054,0.4637752647297221,0.37492906587143,-1.0
1359,0.5191665574281258,0.5127226613928199,0.3359058914719846,-1.0
2096,0.464078281555067,0.4431612641138152,0.3926737330578996,-1.0
1430,0.5096887453429403,0.4800642885402888,0.5093528348910412,-1.0
1577,0.4306940751854403,0.3425365598083045,0.2609824848356791,-1.0
2408,0.5336779769098647,0.5184754126829119,0.4392464806210052,-1.0
1427,0.6509725001746368,0.5581142641713073,0.4508490013176411,-1.0
1897,0.5404588425767843,0.5656369471242948,0.4788794171902206,-1.0
1526,0.5103059489666962,0.4739246147311259,0.40904334426347,-1.0
2306,0.3877717271344908,0.4983704348639434,0.2533446012541572,-1.0
1999,0.5533387588164099,0.5249950286863212,0.4783659476060363,-1.0
2101,0.4964487409854661,0.4587404895157362,0.3962087773042935,-1.0
