,R,G,B,label
5508,0.5,0.5,0.5,-1.0
5352,0.5017664270163689,0.5552184582061354,0.4245031609481737,-1.0
5894,0.54644962880257,0.5452821688115808,0.5391314567785157,-1.0
6495,0.6186583928553107,0.5833562080298854,0.521906882824588,-1.0
6240,0.5604207998775566,0.4781798069727156,0.3501737166050971,-1.0
5690,0.4519725562831635,0.4303488886133748,0.4439142048848664,-1.0
5891,0.6377260747526972,0.6604482394813022,0.4511254776436871,-1.0
5790,0.4590818759936407,0.4779668860551215,0.3758713464595817,-1.0
6140,0.4482918415468334,0.4676829476240169,0.3858171633122976,-1.0
5675,0.5280126915783822,0.5212367834290612,0.3898759096996982,-1.0
5860,0.4055195726129759,0.4426188746944461,0.4842434006681083,-1.0
5865,0.3482515969642709,0.4005015250115414,0.3249943113882337,-1.0
6307,0.4671290350201216,0.4675229043582498,0.4641150783457487,-1.0
5777,0.4840538416085262,0.4834513128816175,0.4596710161347738,-1.0
5642,0.4990841248303935,0.4296202809482001,0.2790315800675765,-1.0
6188,0.5587754728673782,0.5241001085367454,0.447103806369121,-1.0
5463,0.3531719997953632,0.3851027042400561,0.2606741046925116,-1.0
6311,0.5765288885432489,0.5186154152997572,0.3301594053156972,-1.0
6119,0.5516681483346315,0.4464191625560214,0.3202017166369021,-1.0
6378,0.4698071939086677,0.4573125539740776,0.4594633821932308,-1.0
526,0.5189602405886612,0.505539302803973,0.4697449912854645,-1.0
648,0.5564200037418666,0.5128206052122817,0.4154423602401262,-1.0
167,0.4267580309572203,0.3804585052176667,0.256219105920839,-1.0
1200,0.4692791426633859,0.4211540791304094,0.387512236625351,-1.0
344,0.6226610576744557,0.559224084909934,0.4573231172440053,-1.0
574,0.5957385218375005,0.592989765419799,0.5976614792280467,-1.0
1151,0.4739563587968464,0.4413971989004102,0.4149903981176587,-1.0
417,0.4847494104952573,0.4156250768181456,0.4031899847115839,-1.0
164,0.507727386519357,0.5491263741583648,0.578420294671541,-1.0
1189,0.4905775157213677,0.4972476513748887,0.4809671616023492,-1.0
214,0.5731143760824976,0.4919695601038681,0.4125643922529418,-1.0
1047,0.5320535719695029,0.4796518714224265,0.3922305553214797,-1.0
466,0.3869708310239797,0.3803543352358593,0.3172664446417273,-1.0
795,0.5472850458458137,0.5393571468116017,0.4567812287021712,-1.0
1011,0.4472350533744416,0.421376542011144,0.3478747320731772,-1.0
461,0.2810922011233208,0.3205155744915134,0.3738926415772644,-1.0
983,0.5645541661864228,0.491980541747695,0.2593490591717572,-1.0
893,0.2236243153823067,0.4761657485141335,0.5555112284447313,-1.0
698,0.7220096031973143,0.6726437889053358,0.5308938988747776,-1.0
608,0.4646300402762903,0.4214767874362859,0.3394074393374483,-1.0
2013,0.6661157399713239,0.5561567039665414,0.3477816585467139,-1.0
2031,0.517320809223557,0.4654867363795981,0.4099732738265134,-1.0
2563,0.5424633146250338,0.4596709215631087,0.4063891326302545,-1.0
1446,0.5185931032778581,0.5001724798299911,0.4638109887937531,-1.0
2429,0.5074014341042041,0.4359568199025479,0.3650188808180448,-1.0
2579,0.4907884187818727,0.4573255052571353,0.4256350209982358,-1.0
2006,0.4546120064478702,0.4834963476169856,0.4307799282724396,-1.0
2305,0.3954609374864784,0.4007348830608242,0.3595281240751222,-1.0
1743,0.4112987221419756,0.3927966870034028,0.3365225580860094,-1.0
