,R,G,B,label
5851,0.5306027689838423,0.4796295383552496,0.4016096587953046,-1.0
5727,0.4718574566756163,0.4718574566756163,0.4718574566756163,-1.0
6186,0.4448818900880245,0.4830793406072106,0.3701061103204722,-1.0
6293,0.5968463816703002,0.5267039278324056,0.4461231370110026,-1.0
6422,0.5473857790003038,0.5053334808795864,0.485537762180031,-1.0
6042,0.5436682446361593,0.4655233554373505,0.2186363508083288,-1.0
5814,0.596262127246732,0.5643161509395426,0.3769169985702615,-1.0
5486,0.4333135274311744,0.4462335012828042,0.4002120834320766,-1.0
5695,0.5144688341398493,0.4931759707323656,0.4636098793599391,-1.0
5824,0.6004747946006455,0.5097775539718693,0.4528341275849304,-1.0
5715,0.3446273380906541,0.3407736260122497,0.2184774732822507,-1.0
6051,0.4720939462007985,0.4322539097949259,0.2779299451530713,-1.0
6412,0.436640552110649,0.4465336192561883,0.3479314212823481,-1.0
6093,0.4954201214337011,0.4472496518030076,0.3478685855585298,-1.0
5413,0.4793335031489077,0.4678162595484662,0.3752109080155879,-1.0
5371,0.5360976284485577,0.5147021100017604,0.4381376321370788,-1.0
5577,0.5060333491062412,0.5456825784702163,0.4868583898921556,-1.0
5785,0.5189224638765922,0.5336033756972774,0.5163029690822459,-1.0
5995,0.4913994478657889,0.4910455156791958,0.4916118071777448,-1.0
6481,0.4564243122571073,0.4380210910194687,0.3671978596675208,-1.0
977,0.4345812665278407,0.4503405672846217,0.3807921107987351,-1.0
1084,0.5408981036668044,0.506470704313637,0.3844387584481541,-1.0
266,0.4566289162879073,0.4794002185159527,0.4376887334297403,-1.0
156,0.5094952205097285,0.4297251384858876,0.3637603848714374,-1.0
171,0.4657619923189017,0.4682094519067986,0.4891790666274044,-1.0
635,0.4689490678778039,0.4608825906341648,0.4625093248787765,-1.0
159,0.5470592976832842,0.5194256099989569,0.4194798215917029,-1.0
18,0.6142447079533357,0.5521798872024929,0.4148107766236785,-1.0
413,0.5030745933227587,0.5021783374138571,0.5009013074514743,-1.0
672,0.6309007792088607,0.6155702678906871,0.6045350127765016,-1.0
213,0.3909267437974729,0.359294984691251,0.2968208379620848,-1.0
