,R,G,B,label
5834,0.5,0.5,0.5,-1.0
5621,0.4912488551258109,0.4622729039510725,0.4314197684284221,-1.0
6392,0.5639761981815951,0.5305894622768682,0.4726923871896413,-1.0
5368,0.5708133590383122,0.5202785362606807,0.4607042934372694,-1.0
6343,0.557390609593072,0.4891949131073618,0.4384320740818688,-1.0
5946,0.5694663437033428,0.498984560007578,0.4234002264351796,-1.0
6050,0.4599559203526372,0.4800465731105611,0.4645751463201777,-1.0
6196,0.599517192965428,0.4681793901452229,0.2753137184128907,-1.0
5255,0.4512853694503294,0.4522925327256912,0.4420001494201962,-1.0
5449,0.4500714522857513,0.3510865021268695,0.2415350481315843,-1.0
6311,0.5765288885432489,0.5186154152997572,0.3301594053156972,-1.0
5346,0.5475797075604888,0.3188056864017003,0.4198613935043033,-1.0
6276,0.4813955968352253,0.4337690918472652,0.3423537151702786,-1.0
5703,0.4795882619352088,0.4657681958653026,0.3920046279381318,-1.0
5650,0.4710349377794556,0.4440845514027795,0.3415999243527862,-1.0
6285,0.5726801988400995,0.4511828569455951,0.3164072424744545,-1.0
5653,0.5883497874271603,0.4267998812832618,0.3285315253987397,-1.0
5383,0.6394825704612245,0.5290199803089728,0.3971681670832076,-1.0
5872,0.3085626532550129,0.3072499138760126,0.2687406811815196,-1.0
6470,0.588239085165899,0.5331746508850744,0.5172653815013093,-1.0
701,0.5543797026182394,0.519616421622243,0.464388649978082,-1.0
877,0.4047565591121945,0.4074653067333803,0.4218444629760301,-1.0
363,0.5022665038025964,0.4737828864416932,0.3246289983160972,-1.0
641,0.4847211105815205,0.4323014309938418,0.3719131111650694,-1.0
23,0.4885561372210686,0.4770219566784395,0.440611683505912,-1.0
1200,0.4692791426633859,0.4211540791304094,0.387512236625351,-1.0
1150,0.4668843109762989,0.4044310090448392,0.3346255296011534,-1.0
393,0.5423734248537185,0.7818799907566693,0.7486113036805002,-1.0
1127,0.4918037318500076,0.5227161969174963,0.3994968218871396,-1.0
816,0.4240991008615765,0.4256892220770175,0.4095306846963875,-1.0
401,0.4650437029664938,0.4498619593874949,0.4149942905033786,-1.0
1188,0.5016606574471206,0.4713612083479308,0.4860914807817936,-1.0
269,0.4503275822903335,0.4331353295768717,0.4556532531068376,-1.0
2,0.509321256435535,0.5121039977909226,0.3985797892248147,-1.0
1095,0.5952611307278125,0.5448545806640761,0.4019024056962443,-1.0
685,0.5323636318264905,0.5231544733706401,0.51517862459825,-1.0
249,0.5649344459813869,0.5291657505119802,0.4942488753110563,-1.0
709,0.5995694270863914,0.5519832915342096,0.4899120121455113,-1.0
953,0.5228542551041035,0.4709016527573229,0.3640957322218692,-1.0
150,0.5473973358236693,0.5281771152043405,0.4591788855888145,-1.0
1881,0.4914917895972699,0.5191027860523421,0.3397130286641801,-1.0
1420,0.5844646286028612,0.61653657389753,0.5419873428116012,-1.0
