,R,G,B,label
6465,0.5645922239980667,0.5190762205592392,0.3185088980147265,-1.0
5337,0.4815715065378647,0.4881968939253122,0.4960780974578331,-1.0
5756,0.370938309628618,0.4136007922556525,0.27067661344607,-1.0
5278,0.6164911330904043,0.534941384695471,0.3844323859101162,-1.0
6418,0.509990588879549,0.5579035500390301,0.3922824369164737,-1.0
5336,0.5447823054972781,0.5841231608091699,0.4446908206413508,-1.0
6349,0.3990857290471293,0.4628677029463927,0.4017104411226529,-1.0
6396,0.4924758734787202,0.489424473888523,0.5016220435989877,-1.0
5934,0.5570213499916651,0.6076750892995657,0.4161036482016267,-1.0
5632,0.5170892578108138,0.5072410026402107,0.4918515042700926,-1.0
5669,0.387768367815165,0.3896625817149031,0.3619979636845884,-1.0
5568,0.5,0.5,0.5,-1.0
5369,0.4407198937732083,0.4621366246541803,0.4269659758941312,-1.0
6080,0.490409133362455,0.5093434715384816,0.2991543172520908,-1.0
5289,0.5460201149246571,0.5517126128961238,0.4580695410684203,-1.0
6153,0.5,0.5,0.5,-1.0
6206,0.3886756531076484,0.4055529870900065,0.3197376126449279,-1.0
5563,0.5053357330593201,0.4915366053161105,0.4604252691427732,-1.0
5754,0.5309269644356432,0.4866863144908415,0.427857155096236,-1.0
5688,0.5495327538781678,0.4662610813719658,0.419687813947909,-1.0
878,0.5142174088002246,0.5044690133546406,0.4860108330944958,-1.0
247,0.4818552793703328,0.4077071929584377,0.2852370738830831,-1.0
401,0.4650437029664938,0.4498619593874949,0.4149942905033786,-1.0
987,0.4059510481507466,0.4683427478259444,0.5605530271698774,-1.0
78,0.6277822805168384,0.5506137043082968,0.3900400680357531,-1.0
1109,0.4854070028011205,0.4673733893557423,0.400626050420168,-1.0
1286,0.481620867813857,0.4344170734182319,0.4004602473131241,-1.0
524,0.4455383176541784,0.4832564747305095,0.3932964735654949,-1.0
822,0.3345304253608752,0.3335203846121397,0.2977411027106768,-1.0
722,0.5131779721427627,0.5037013057507707,0.4463029451657923,-1.0
1014,0.530786165693014,0.5107124595772473,0.4426233941852602,-1.0
427,0.4333519687772411,0.3517538072388542,0.2841942290181241,-1.0
358,0.4895769475223911,0.4556866705586078,0.474459536188769,-1.0
203,0.5579384628230285,0.549055650649188,0.5138864999512934,-1.0
22,0.4065776503146745,0.3660881642888563,0.3106350641298738,-1.0
1145,0.5717649121523998,0.545808170731593,0.4684518401632159,-1.0
157,0.5297683236226077,0.4989246252606347,0.4335451246942159,-1.0
413,0.5030745933227587,0.5021783374138571,0.5009013074514743,-1.0
1166,0.2766787649902865,0.2616741690537898,0.1904967980007899,-1.0
112,0.3749603017940957,0.3905724437425977,0.3119199894722989,-1.0
1759,0.4832773273428583,0.4544014578944281,0.4007613632043736,-1.0
1806,0.4967148478723043,0.4967117711669635,0.4997823230971346,-1.0
1714,0.4980977158546638,0.4080261515431656,0.3355776287842296,-1.0
1763,0.5443976763282146,0.4735059035434504,0.3882914986325499,-1.0
1682,0.468462618451393,0.4089146446378258,0.3713616113547033,-1.0
1765,0.5831132420527011,0.4248183133756341,0.2431099820301194,-1.0
2321,0.5061691823012179,0.4830725464876966,0.4892053777792245,-1.0
1487,0.5103651371417436,0.4686399487015069,0.4351284536899082,-1.0
2128,0.6332101185991129,0.5320458248351986,0.4481256763989211,-1.0
1623,0.4825411603735668,0.5635618684071912,0.3251065958738764,-1.0
1300,0.5937706588112553,0.5073713216115867,0.4020717419988339,-1.0
1729,0.5833827958183333,0.4241099680033058,0.3407781266655109,-1.0
1566,0.3755900219073131,0.3875978478411464,0.3282335467260888,-1.0
2508,0.433618688748994,0.462286754364193,0.3386660348834585,-1.0
1646,0.4498280501381458,0.4217440578765156,0.3447631038214586,-1.0
2104,0.4189610688363026,0.4232651084515312,0.3351333321225989,-1.0
1924,0.4372414803713417,0.3693859206527621,0.203303642646018,-1.0
1853,0.4508648333838366,0.4676217151021868,0.430440280767293,-1.0
1686,0.5385432644676716,0.5497324162469167,0.3493712418167033,-1.0
1564,0.5089059090706683,0.5026585280359158,0.3485317809648753,-1.0
4620,0.487195147989566,0.4247042824982512,0.3207228696822123,-1.0
3981,0.5630519257255762,0.5768360946938385,0.3336677602155264,-1.0
4546,0.3689326599740853,0.399579269186346,0.3399690603556181,-1.0
4183,0.470437638416248,0.49316458704694,0.4547030375051766,-1.0
4669,0.5754425019970989,0.5154952079988426,0.4694166315334777,-1.0
5177,0.3655349576724297,0.3460486731413734,0.201883506607305,-1.0
