,R,G,B,label
6122,0.4611907715604023,0.5039286286890996,0.2998830394713092,-1.0
5803,0.4999843137254902,0.4999843137254902,0.4999843137254902,-1.0
5338,0.4979711127112542,0.4671417264436377,0.3585476293105238,-1.0
5724,0.6018429367746209,0.5509439570449206,0.4290375639030896,-1.0
5384,0.4774766709383968,0.546637642967589,0.4019177782189893,-1.0
5886,0.5076775129130207,0.4845800523160219,0.4400076067628086,-1.0
5323,0.4974225522857436,0.4565223034655821,0.4090145347283551,-1.0
5995,0.4913994478657889,0.4910455156791958,0.4916118071777448,-1.0
5947,0.557033897638724,0.45595395044352,0.3425883261561096,-1.0
5318,0.5484410182270837,0.4842235128446643,0.3403962558353079,-1.0
6115,0.4183681280963748,0.4507181851485554,0.3180608447084341,-1.0
5829,0.5102613456038996,0.5284423317643117,0.4865668181244301,-1.0
6288,0.4482241273481392,0.4785623533298674,0.3706399797880662,-1.0
6210,0.5871300537516819,0.5241572563099369,0.4762093606179888,-1.0
6436,0.4802521725366658,0.4367260808635326,0.4086059862023171,-1.0
5732,0.4846878965371625,0.4613263661528009,0.3777482832425266,-1.0
5999,0.5605583569266099,0.4693085564072404,0.2726545063583822,-1.0
5812,0.5041423683401869,0.4974382744821823,0.4828090419122394,-1.0
6248,0.4660749464023886,0.4966841837473025,0.3841773570926169,-1.0
5483,0.4670456719106215,0.3859912546934395,0.4080994652058136,-1.0
349,0.4883929219651403,0.4904314032648091,0.4399935636459083,-1.0
1141,0.5925023293912867,0.5276322804143416,0.3578461065888497,-1.0
1128,0.4375860020079086,0.4477047144876759,0.3943001618620281,-1.0
434,0.4234855995039561,0.3858035898825855,0.3300632554985006,-1.0
442,0.4506969268362454,0.5046056081854584,0.50901033557888,-1.0
102,0.6052842138726204,0.5871844343640595,0.3668488472088066,-1.0
1159,0.4942178021771165,0.4304327146563436,0.3298489554482157,-1.0
495,0.4942647023150297,0.5216928110690575,0.4463526158365913,-1.0
546,0.6974664138134613,0.6081214808759621,0.3555893962800107,-1.0
1127,0.4918037318500076,0.5227161969174963,0.3994968218871396,-1.0
586,0.4703491538679959,0.4924641521013264,0.4362089459836981,-1.0
203,0.5579384628230285,0.549055650649188,0.5138864999512934,-1.0
992,0.545377621616825,0.510088244714829,0.4254700783013059,-1.0
246,0.3674829241405142,0.3527673054352256,0.3019661047248443,-1.0
697,0.4676033040097102,0.4211965377779378,0.3936164096031864,-1.0
1206,0.625989974372271,0.5736793452528577,0.4519607843137254,-1.0
222,0.4642182396968103,0.4679346979240415,0.4278835806754212,-1.0
354,0.5214725571998471,0.4782547681599725,0.4183145409776083,-1.0
1246,0.577011186800385,0.5581702474869147,0.4396565650522033,-1.0
920,0.4637714437242547,0.4405320880465295,0.4072213548090206,-1.0
2056,0.5049320650769533,0.4556585733924566,0.4275769532905413,-1.0
1941,0.4728684177785001,0.4899720360175726,0.4313244349930377,-1.0
2030,0.3529757016868715,0.272433140774185,0.2439185548240406,-1.0
2093,0.5796829998042634,0.4870558253407527,0.3606550653853682,-1.0
1719,0.5874420303212634,0.5906164767095273,0.4678148262793558,-1.0
2482,0.4616413542641748,0.5432000132318422,0.3184429392604552,-1.0
2502,0.5278914469155706,0.4838465902251414,0.4324543289486197,-1.0
1514,0.4470725316559809,0.4653754916974446,0.3896903791145595,-1.0
1986,0.5143297633493367,0.5950460222074866,0.3697087219953842,-1.0
1998,0.5885325337643027,0.5385088524550248,0.379161665263113,-1.0
1307,0.4846982669422194,0.3852332771374885,0.2510600412593388,-1.0
1596,0.4185513981115866,0.3460820287536555,0.2810898795088939,-1.0
2419,0.5962459274712333,0.5452818078691264,0.2334470363463315,-1.0
1469,0.4831017779415175,0.499595726390765,0.382054661809052,-1.0
2147,0.6169917554518821,0.5227672933096443,0.2965662919044584,-1.0
2446,0.4226406698427861,0.4115112559007918,0.3473758911573513,-1.0
1471,0.564438934056227,0.457544838147893,0.3591024826759397,-1.0
2259,0.4453195772289351,0.4267087243098895,0.3452925131677953,-1.0
1671,0.5305002600399714,0.480749815484166,0.4064613120941688,-1.0
2481,0.4763780055230021,0.4963682936171025,0.4201678242083173,-1.0
4498,0.50836991841719,0.4488075299755438,0.3800319768498177,-1.0
4560,0.4572400860113341,0.593045998865066,0.4011273647630321,-1.0
5072,0.4467184893142507,0.4070878432349644,0.3189040908502432,-1.0
4938,0.4980821305992067,0.5047086980372738,0.3481514061430464,-1.0
4117,0.5340130219144137,0.4980666520711478,0.4162474442887854,-1.0
4085,0.6006798932590788,0.5195108318423394,0.4563035561987694,-1.0
4386,0.4144531971515341,0.4507454774964174,0.3421964071533496,-1.0
5154,0.49653192654931,0.4719408845887845,0.4526726595896112,-1.0
4046,0.5549367996974403,0.5131167071264973,0.3846009489832604,-1.0
4967,0.4512377336311349,0.5048201554863947,0.3230079050022097,-1.0
4789,0.5447591579541359,0.4885204817855164,0.3449739937983439,-1.0
4751,0.4659133269743337,0.4203187431165916,0.2254741246461328,-1.0
4156,0.503699154448866,0.4236039751610686,0.3460975437907387,-1.0
3977,0.614935570294152,0.4964951791449946,0.3872450605221291,-1.0
4986,0.5875924097940866,0.5341213236259603,0.2747479054123291,-1.0
4314,0.5250321347190302,0.4530742469697832,0.3618758225048975,-1.0
4528,0.3966468363277747,0.5354851124436185,0.3983998808421904,-1.0
4388,0.5134213285762953,0.4340412871389429,0.2722294631775636,-1.0
4555,0.5063270097732887,0.4701645407477993,0.2325980509975465,-1.0
4378,0.4956518767560502,0.4574311412957486,0.4466177570679707,-1.0
2761,0.4615260053529327,0.4531102385327258,0.4689995553206306,1.0
3254,0.3121533131449827,0.4054691573027476,0.4288934676265377,1.0
3049,0.5109779631054073,0.5383284077567709,0.5857212258613012,1.0
2628,0.4806235098148088,0.4710694494344101,0.4682463990593462,1.0
2724,0.5396138701382193,0.6081529251044681,0.7170897621343619,1.0
2890,0.4628831144108129,0.4697912548140989,0.4790936314779833,1.0
3734,0.5096092883306352,0.5069268430634357,0.4874312883327147,1.0
3439,0.4210710439045306,0.4054087042239301,0.3671759340396944,1.0
3576,0.4099461652067977,0.4013843232537722,0.396120628049901,1.0
3313,0.3399855184633029,0.3770816224310206,0.3938349091687296,1.0
3273,0.4383255352837026,0.4108574163209289,0.3871131132477196,1.0
2730,0.5278162544786444,0.5184810358597034,0.5023365322091446,1.0
3547,0.3391840512721372,0.4041066919746685,0.4600464565868176,1.0
3479,0.5289011721577174,0.5244234025938774,0.1710129025244685,1.0
2952,0.4357260761976043,0.4012358250002176,0.2846717086005877,1.0
3364,0.4815357602856085,0.5193694862156327,0.5983419474695131,1.0
3683,0.531648884084197,0.4810781963604458,0.3778093738494199,1.0
3022,0.2964412788188618,0.3710134695543222,0.4404138781651366,1.0
3010,0.1889017289298596,0.3448432928028268,0.5842788005787558,1.0
3541,0.4584324998993437,0.4675326864489807,0.4612582840117566,1.0
