,R,G,B,label
5267,0.559536921290183,0.4686070404083678,0.3598803144923538,-1.0
5923,0.4802271685388419,0.3852061238743104,0.2878872418259631,-1.0
6331,0.5061997936333942,0.5067547619873315,0.3891286112271274,-1.0
5647,0.586892688371816,0.4870469802942612,0.4132771391510965,-1.0
5768,0.538988368742702,0.4472556601913774,0.3088982151251838,-1.0
5917,0.6259247964202517,0.5473573713297678,0.499713736853501,-1.0
6403,0.6284959699422614,0.5012985262304239,0.3275544009265789,-1.0
6477,0.4351994115348366,0.373206445532492,0.3255165544138718,-1.0
5347,0.596752706502521,0.525385306140077,0.416049252413524,-1.0
5251,0.3862927666411071,0.5036810568316455,0.5205299770971126,-1.0
6322,0.463996416449507,0.4219150860696785,0.3702908245289778,-1.0
5456,0.3047255006262866,0.3230624228994272,0.3023293973520546,-1.0
5564,0.4402828450705136,0.453294583618349,0.4386939675118053,-1.0
6200,0.5952478109564436,0.592236659931148,0.4902636207154618,-1.0
6045,0.3445675945289964,0.396563961887414,0.2814575168597092,-1.0
6382,0.4846805764173434,0.4858634193335645,0.4518707498029523,-1.0
6351,0.4360129444438651,0.4677620879942121,0.3074019893367735,-1.0
5504,0.5824017421775985,0.5045637462623694,0.3795892806151901,-1.0
6212,0.5167678441556717,0.4569733318721267,0.3597138138267784,-1.0
6129,0.3573107658484739,0.3032940968411416,0.1941839659199076,-1.0
827,0.6399848322266776,0.6313454406587762,0.5654942838471283,-1.0
390,0.5508770892229805,0.5070341609396624,0.4123771306230113,-1.0
584,0.47129629324103,0.4367052840096043,0.4110162267633255,-1.0
586,0.4703491538679959,0.4924641521013264,0.4362089459836981,-1.0
401,0.4650437029664938,0.4498619593874949,0.4149942905033786,-1.0
900,0.5355969992287738,0.4704790171928922,0.3202025442676077,-1.0
873,0.4721050547901168,0.480770586478041,0.4574208279969692,-1.0
1060,0.4042887072637274,0.3752353324891601,0.2644653697095276,-1.0
548,0.4534485753370053,0.5117035789536596,0.4152719134436287,-1.0
10,0.4946381449283264,0.5272768373904223,0.5738140270881541,-1.0
822,0.3345304253608752,0.3335203846121397,0.2977411027106768,-1.0
1030,0.547079602773915,0.5267613834866659,0.4764324548964804,-1.0
514,0.5425599293211214,0.4992337384556398,0.4472628667207849,-1.0
917,0.6705850551170842,0.5762577215467766,0.3686662286229269,-1.0
594,0.4946383825447771,0.4687231484739999,0.3126621455113465,-1.0
165,0.3528631948524878,0.4025749651198499,0.3815350409494171,-1.0
531,0.4025227005731124,0.3959852924950185,0.324637667049607,-1.0
231,0.4329121119634778,0.4399391357216655,0.4785032895272413,-1.0
1281,0.3340680482420778,0.3337392429322613,0.2846759550150842,-1.0
947,0.6194778818785578,0.5600637452561671,0.3440407574320051,-1.0
2046,0.4533498009025143,0.4826933624260389,0.3877693533963218,1.0
1794,0.419281738208797,0.4088714785373609,0.408006952835188,1.0
