,R,G,B,label
5618,0.515990996481477,0.4863365268195964,0.4316193819425822,1.0
6038,0.5840631413785462,0.5127758542659614,0.4072662548155525,1.0
5396,0.538642284283621,0.4906558560960305,0.4262737821445924,1.0
5422,0.4816845535972922,0.4974765657663983,0.5283356949504203,1.0
5622,0.6032829819307033,0.5004941417899397,0.3996770702239177,1.0
5815,0.535754827142394,0.5246323388138369,0.4592892569381059,1.0
5313,0.3975124533607654,0.3831450550973733,0.2860304479404902,1.0
5789,0.5404188232825005,0.5214959738027116,0.3663497560207775,1.0
6423,0.7443345889939671,0.595148344075257,0.4391761839467958,1.0
5983,0.4768745909190702,0.476076844634397,0.4747539700940894,1.0
5272,0.5186587803797628,0.4708325969585617,0.3979428940408345,1.0
6095,0.5687664983206767,0.5549322864557791,0.4700749526214874,1.0
5523,0.4045805026235846,0.4150900303783485,0.4366951118475559,1.0
5640,0.4785043548073699,0.4277664396914161,0.346245726865286,1.0
6255,0.4661064837374437,0.5122952481692491,0.5244930027555352,1.0
5665,0.4837465492918988,0.4911070943372178,0.4353691424863637,1.0
5295,0.4878495214840923,0.4535635065467008,0.4759658608340914,1.0
5472,0.4875657081378997,0.5003733291808622,0.4692598377390423,1.0
6487,0.4800978359499359,0.4577551014769723,0.4102228858289828,1.0
5588,0.6270006254475873,0.5634125008630033,0.4647759439213316,1.0
614,0.5866222193076414,0.5460362428137364,0.3892058495639058,-1.0
1257,0.5797795595922326,0.54966058799877,0.479928569739114,-1.0
578,0.4137686820009163,0.4169063850468272,0.3914318740066464,-1.0
161,0.4837381917677565,0.4648941746609307,0.40656012532395,-1.0
140,0.5054039430130651,0.4218010343072313,0.3027726884084524,-1.0
731,0.3536729247076956,0.4917330394750554,0.4581157085662398,-1.0
455,0.4353763397448336,0.464018889376549,0.5203074255583962,-1.0
236,0.4032359952461191,0.3188271001862779,0.1918757983477888,-1.0
1054,0.6378663855381448,0.5982850579319338,0.6016063242300548,-1.0
970,0.3823889504070057,0.3777517053667278,0.2678811751744813,-1.0
932,0.5076154225055297,0.4759151209412693,0.4202974437768003,-1.0
63,0.4507374602999673,0.4493651588440532,0.4259418001713779,-1.0
929,0.4699181468727226,0.4851780469724977,0.4360773053837901,-1.0
157,0.5297683236226077,0.4989246252606347,0.4335451246942159,-1.0
911,0.4577068209130315,0.4048481916575306,0.3434569377531171,-1.0
168,0.3854182746803453,0.3978835232075885,0.4065617249374069,-1.0
496,0.4334184334184334,0.4185920832979656,0.4061263355381002,-1.0
948,0.4543941638393782,0.5086067440786225,0.6465325496567433,-1.0
354,0.5214725571998471,0.4782547681599725,0.4183145409776083,-1.0
1142,0.3604549967050354,0.3601510704261114,0.2991807224159425,-1.0
1630,0.5079462580237227,0.4294461934697904,0.3419950641070204,-1.0
2520,0.5293800095265537,0.4809014158497549,0.4360968180134195,-1.0
2561,0.5851919229728129,0.6103937746366881,0.5068921928132772,-1.0
2039,0.519395127287645,0.5062061368522611,0.4273206159643244,-1.0
1589,0.5643285195170941,0.6025399337284622,0.4267616160253637,-1.0
1391,0.5131102692912497,0.448241380001494,0.3982173097842426,-1.0
1469,0.4831017779415175,0.499595726390765,0.382054661809052,-1.0
1723,0.4917307402858077,0.460965403929568,0.3000162618055972,-1.0
1915,0.4315787890230462,0.3997468509871461,0.3125466864372178,-1.0
2443,0.3858122531134533,0.4554684826302081,0.4043698556239378,-1.0
2290,0.5241511547078069,0.4883148446512046,0.4231786464711851,-1.0
2509,0.4243999898437848,0.4536527463040898,0.4344149702613321,-1.0
1476,0.6172941445590652,0.5461162916723243,0.4985263841639968,-1.0
1520,0.4420867265371053,0.4745541282971083,0.3430319133470658,-1.0
2378,0.4895443818791457,0.4684291630220861,0.4265054395364093,-1.0
2209,0.4770437934482929,0.4788983696595221,0.3633310029582351,-1.0
2278,0.5644587456090956,0.4919952490689783,0.4186015669239298,-1.0
1794,0.419281738208797,0.4088714785373609,0.408006952835188,-1.0
1742,0.5023021951313138,0.5021055123993736,0.4172527432015236,-1.0
2114,0.6758037721571101,0.6082598771493358,0.4039419917845163,-1.0
4631,0.5964230183537709,0.4926831959039927,0.3583294438236944,1.0
4738,0.387302862608458,0.4688632419708459,0.3216644245281261,1.0
4965,0.5478471121140058,0.5794412428644176,0.4123886149229823,1.0
