,R,G,B,label
5562,0.5414885042664225,0.5224768676157102,0.304484632371589,-1.0
5794,0.4430757261209823,0.4421699976674857,0.4504644493057863,-1.0
5529,0.5257692847941471,0.50990164663943,0.3606007090470125,-1.0
5943,0.524381034738172,0.4959890256137262,0.4828053897179765,-1.0
5547,0.702973934034897,0.5509422878626806,0.3551039640796782,-1.0
6070,0.4220482740776899,0.3957605874617566,0.3216863118529958,-1.0
6041,0.5185136369494926,0.4763859702211837,0.4392799436627085,-1.0
6346,0.5,0.5,0.5,-1.0
5569,0.4944299867644116,0.4547696385355755,0.4150124199263717,-1.0
6341,0.4275470963074269,0.4869384167390973,0.3545380887140731,-1.0
5884,0.5185551820155525,0.475126044692491,0.4966118785721015,-1.0
5902,0.5490391338407755,0.5286184479754932,0.5208107381294796,-1.0
6307,0.4671290350201216,0.4675229043582498,0.4641150783457487,-1.0
5778,0.5532567185879813,0.4915311595150423,0.3804232052600398,-1.0
5801,0.486621431061754,0.540098865619216,0.3579501070960095,-1.0
6155,0.4901523834965681,0.4850506374593984,0.4597054008803183,-1.0
5653,0.5883497874271603,0.4267998812832618,0.3285315253987397,-1.0
6349,0.3990857290471293,0.4628677029463927,0.4017104411226529,-1.0
5327,0.5490742708030967,0.5573200652630523,0.4488591102107018,-1.0
5312,0.4830450772629014,0.5125860255609823,0.3211253877648303,-1.0
941,0.6310804219376698,0.5675706983488297,0.4243487168289078,-1.0
953,0.5228542551041035,0.4709016527573229,0.3640957322218692,-1.0
1064,0.4236796092324426,0.4550624933287926,0.3217687213138084,-1.0
1006,0.4926212161375028,0.4631693899067261,0.344821125720271,-1.0
776,0.5650844546702484,0.552700526415043,0.4315254168773606,-1.0
844,0.4859610345933348,0.4448699719217563,0.420788693618652,-1.0
159,0.5470592976832842,0.5194256099989569,0.4194798215917029,-1.0
48,0.5175617010209593,0.4990485420635396,0.4519882366278333,-1.0
924,0.4205361469323954,0.4141722639817943,0.4067748890881088,-1.0
1270,0.4496539139271723,0.4284569093775676,0.3867614729590457,-1.0
193,0.4400053849692977,0.3816800136186897,0.3915662723912183,-1.0
1091,0.4796626649128844,0.4516924106037363,0.4237221562945882,-1.0
857,0.4829476144685437,0.4742889166059409,0.3901110774503587,-1.0
207,0.5334824621049175,0.4506373589775613,0.4319698041991034,-1.0
935,0.4761373857018221,0.479161694249256,0.447653490940424,-1.0
775,0.4822702242809539,0.4793560292739032,0.446823080377189,-1.0
997,0.5525501211720644,0.5510368284607979,0.4814001635747418,-1.0
1174,0.5384460951616141,0.4308728205942271,0.2874898256786642,-1.0
1256,0.4886108671331074,0.4930236403701649,0.4111066243123515,-1.0
824,0.5508767292877355,0.5367402489968386,0.4874343668727337,-1.0
1622,0.6490418269854784,0.642817167257344,0.5334285896564392,-1.0
2596,0.5185572216566298,0.5131833650640268,0.4071314877764932,-1.0
1354,0.5106070271405295,0.5447681851648073,0.1983127207776156,-1.0
2345,0.4513526470789671,0.4725070200671187,0.3948699122139096,-1.0
2549,0.5955830814054908,0.5692229954256536,0.515923281304287,-1.0
2323,0.4779158883979228,0.4476134400293734,0.4337160211338839,-1.0
2336,0.4376256445445818,0.46521089192543,0.3792023046014585,-1.0
1737,0.578796904162153,0.4884050518365767,0.3135278020682424,-1.0
2598,0.5095532344331196,0.4931351485979036,0.3772479991959092,-1.0
2558,0.5258668442816308,0.4825932437749057,0.4017401695504611,-1.0
2403,0.5959348461921575,0.5072783926707716,0.5367184699474353,-1.0
1835,0.3966132754256494,0.3939703259575567,0.3522325607583088,-1.0
1682,0.468462618451393,0.4089146446378258,0.3713616113547033,-1.0
2239,0.4830132100020947,0.4597025221978387,0.4331499620371857,-1.0
1334,0.3722882054211271,0.4207279161455307,0.3567576972191857,-1.0
1401,0.4012874935127546,0.3615072901427978,0.3392652797097401,-1.0
2481,0.4763780055230021,0.4963682936171025,0.4201678242083173,-1.0
1955,0.5223714227042768,0.4375027535609611,0.3491351640624514,-1.0
2273,0.6712833774744674,0.5689084338610907,0.4536959862764461,-1.0
2079,0.4465491845545168,0.4783939512359053,0.3508649680242394,-1.0
4151,0.4092212534104064,0.4266097190096499,0.2609861402603933,1.0
4879,0.5178668063974611,0.5443411640799302,0.441201525593551,1.0
4441,0.5187385088905743,0.5472686371203462,0.4000158903796799,1.0
4307,0.4591726967266137,0.4470920837949177,0.4336377171410838,1.0
4486,0.56155636142383,0.5260276034157163,0.4707617073403596,1.0
4291,0.5645597464343403,0.4866136097255369,0.4721091860519648,1.0
4774,0.4884122622936633,0.4987638669541618,0.3835226811087314,1.0
4678,0.2625734092784999,0.4047284452998632,0.2330038947611657,1.0
4926,0.5329511723713701,0.4249798658991492,0.2730561542943678,1.0
4895,0.4234460283333843,0.3458870400749941,0.3105968283727833,1.0
4511,0.4384520761775598,0.3856959875254085,0.3683062499078655,1.0
4097,0.4411310897825295,0.4087665949626114,0.4112711151767231,1.0
4207,0.6301191347395092,0.3961654693531524,0.3412686567523237,1.0
5127,0.5620304498860619,0.5381038656944617,0.468193094198599,1.0
4752,0.356955901520559,0.4287138474430398,0.433701603564709,1.0
4030,0.3939264877561346,0.3180045014932569,0.3270192602807686,1.0
4083,0.3958285768478287,0.3378855094913107,0.2454728210027666,1.0
4421,0.5721134157211342,0.5242308275481906,0.4804169553924047,1.0
4495,0.377126180511335,0.435090372157546,0.3997095590685505,1.0
4319,0.5406490751182946,0.4535529921611114,0.3022158922450699,1.0
3847,0.3068111669704272,0.4478131281624731,0.5394330075552782,-1.0
3150,0.5651789944878984,0.5587980523113921,0.5153218567329786,-1.0
3279,0.3277488525811438,0.384350974342184,0.3249419815519327,-1.0
3594,0.4003287825972405,0.4144102698809742,0.3406740937246014,-1.0
3732,0.2320365038749482,0.4176130128983046,0.522779333767508,-1.0
3530,0.3955369254869926,0.4882793406895557,0.5772533269621524,-1.0
2701,0.340055674184144,0.393298622283324,0.4467443765173897,-1.0
2635,0.4034419321463353,0.4147911478150834,0.3940081076675821,-1.0
3769,0.488425711797344,0.4986129703936287,0.4936383739621713,-1.0
3208,0.4242682125376414,0.4658496568545711,0.5015663387249181,-1.0
3381,0.4941966923363196,0.4335464947732815,0.3487150628399925,-1.0
3171,0.299472615823169,0.4093074149604755,0.4454978039356572,-1.0
3436,0.6207790154449084,0.5448422079533078,0.491596001900653,-1.0
3114,0.651398300239242,0.4975072917036345,0.3631466135193338,-1.0
3324,0.4191387503688268,0.413048168327991,0.3660150023183401,-1.0
2954,0.5002320179259186,0.5247207293087675,0.5592979745684248,-1.0
3487,0.4523084813498833,0.4793766219435045,0.5195404417642733,-1.0
3054,0.4577697986594288,0.4398269781241689,0.360801929715598,-1.0
3089,0.5138435619992968,0.4788238506470213,0.3073103507353611,-1.0
3543,0.4895388564782637,0.4885950871576701,0.5097830945243594,-1.0
