,R,G,B,label
5909,0.577444737895158,0.5077933573429371,0.411730612244898,-1.0
6188,0.5587754728673782,0.5241001085367454,0.447103806369121,-1.0
5770,0.4827208228537107,0.5040855318427351,0.3687843378884903,-1.0
5397,0.5069925866888385,0.5050636170497137,0.4823962353728343,-1.0
6477,0.4351994115348366,0.373206445532492,0.3255165544138718,-1.0
5731,0.5622956125735027,0.5136696560997491,0.4461696760404978,-1.0
5863,0.5185624264263442,0.4760678812956499,0.3945391934215018,-1.0
5632,0.5170892578108138,0.5072410026402107,0.4918515042700926,-1.0
5560,0.4837070045306177,0.5899313430338393,0.3758382874526236,-1.0
6177,0.54304562946674,0.5439130169201636,0.5434976482804961,-1.0
5720,0.4696451620885492,0.3214675756723021,0.2595894742717913,-1.0
5580,0.5240344677114367,0.4533106529542854,0.3689729541418179,-1.0
5718,0.4343182970964371,0.3872256937445408,0.3689623507805326,-1.0
5862,0.5351334966388153,0.4961911419825584,0.4983134048447293,-1.0
6115,0.4183681280963748,0.4507181851485554,0.3180608447084341,-1.0
5740,0.457855226823041,0.4301577868190191,0.3333397372134862,-1.0
6245,0.4200919298012935,0.4166961392185107,0.4399063264060556,-1.0
5324,0.4060308132501725,0.3833550302713664,0.3655006451510761,-1.0
6108,0.5100722348065305,0.488097103504401,0.2867232653605294,-1.0
5871,0.4939136673047233,0.4495172148553683,0.4291993546702107,-1.0
1020,0.5350262953443194,0.5301518313567165,0.3881037298266335,1.0
866,0.4843489559488461,0.4695383850671689,0.4420001133653373,1.0
1239,0.5689895479992279,0.5387962273517002,0.4446525192355423,1.0
153,0.4376974808505774,0.4488360981430356,0.4035270524755139,1.0
743,0.4438970287501503,0.4258581338465857,0.3823301656040739,1.0
92,0.6330610401256807,0.5479596958459753,0.3790820294855778,1.0
1286,0.481620867813857,0.4344170734182319,0.4004602473131241,1.0
887,0.5773284967087955,0.559779355139959,0.5256330646706878,1.0
372,0.4853870497814839,0.4871990047840103,0.4864579116420768,1.0
402,0.6581919921218898,0.5863710534671508,0.5257517566989246,1.0
673,0.1841470689183658,0.3417257765223472,0.279811832249515,1.0
824,0.5508767292877355,0.5367402489968386,0.4874343668727337,1.0
270,0.4699176059159169,0.4893433375558948,0.3930836608525243,1.0
1035,0.3997235721885824,0.4074262563180743,0.3357846611906163,1.0
795,0.5472850458458137,0.5393571468116017,0.4567812287021712,1.0
520,0.5531958913961887,0.5046037649989684,0.3730434095164273,1.0
962,0.4336589410588514,0.3657086086947543,0.2972736132940251,1.0
286,0.4149297514281302,0.3804292892279008,0.3709380612605852,1.0
620,0.4143572358684319,0.3745106827102463,0.3433335349377947,1.0
11,0.4781942223106089,0.478652463794908,0.4478472080227739,1.0
2337,0.4050020807193806,0.3893498495981888,0.307209522959185,-1.0
1864,0.5352055548896266,0.4958169818826796,0.299044779956813,-1.0
2482,0.4616413542641748,0.5432000132318422,0.3184429392604552,-1.0
1797,0.5314652919327493,0.5967012654890345,0.4858381295063514,-1.0
1424,0.415740869323705,0.4545886873010556,0.3537059123052082,-1.0
1778,0.3579927025294611,0.3414310191805138,0.3157062028499581,-1.0
2209,0.4770437934482929,0.4788983696595221,0.3633310029582351,-1.0
2081,0.4940121386401309,0.4722946443271554,0.4001362817074779,-1.0
2353,0.3793019722923578,0.4011268158092971,0.3812003943531162,-1.0
1399,0.4516133320847942,0.4815738759391499,0.3741632958039455,-1.0
1788,0.4211295433181408,0.3709215367208343,0.2885966570046886,-1.0
1630,0.5079462580237227,0.4294461934697904,0.3419950641070204,-1.0
1881,0.4914917895972699,0.5191027860523421,0.3397130286641801,-1.0
1675,0.5111324450142618,0.4821170697079293,0.4546077378374922,-1.0
1697,0.5757879546679248,0.540456071795342,0.5462502237071943,-1.0
2072,0.3790389612103957,0.3646067320970353,0.2916720385277947,-1.0
2095,0.5394798141357877,0.5171068858990444,0.398194396781767,-1.0
2177,0.4891580899530267,0.4925657129815177,0.4329398381328276,-1.0
2277,0.3604222568308354,0.3866653807503084,0.3501113984578529,-1.0
2525,0.6222960277994798,0.507912211227762,0.3574050540241178,-1.0
4271,0.5359974808361726,0.494166185759346,0.3635830098737519,-1.0
4512,0.4770069659262546,0.3697670310529408,0.2974180747094564,-1.0
4348,0.4648980218702924,0.4175732869844694,0.3257714502520705,-1.0
4995,0.5542747200266892,0.4646816283907806,0.4039310351806495,-1.0
4572,0.5419468531707784,0.5138656034948671,0.4129612018203503,-1.0
5183,0.4723967749744849,0.3625902043933872,0.1773812598556141,-1.0
5108,0.4098890039194223,0.4369647768457957,0.3725252086227961,-1.0
4803,0.4953392428216802,0.4959530557481833,0.2939475482658465,-1.0
4392,0.5553103659717937,0.4557174728911632,0.3278978342890584,-1.0
4958,0.515772548721854,0.5371768532020834,0.4894347215367677,-1.0
4832,0.5765000240014708,0.4671992276054955,0.330524798953717,-1.0
4172,0.5672015377473744,0.506265672560583,0.4343752007512215,-1.0
4341,0.430946427072969,0.3853055059398937,0.2997942115505261,-1.0
4706,0.5489253407973191,0.4061422383326861,0.3354325793457703,-1.0
4824,0.4049001643607774,0.3715394774850645,0.2593046834917299,-1.0
4191,0.5444194800967471,0.5211727513895339,0.4042261117095168,-1.0
4611,0.5179110012480623,0.3493816330541895,0.2337431896367257,-1.0
4808,0.4350399901975272,0.4715712146745666,0.2994833004031515,-1.0
4437,0.4854995031448778,0.2647555990550707,0.1867460387266286,-1.0
4178,0.6232934449346046,0.5555765993810471,0.4439046645709086,-1.0
3578,0.5438000622471211,0.5635602033405955,0.5848637410519765,-1.0
3790,0.3600475111796081,0.3224833383326955,0.3188781086551026,-1.0
