,R,G,B,label
5269,0.4123398035734749,0.4098320428444651,0.2113142961291592,-1.0
5981,0.4753671252130902,0.4584320565327999,0.3448396042630059,-1.0
5486,0.4333135274311744,0.4462335012828042,0.4002120834320766,-1.0
5951,0.5060486197861968,0.4568930848665971,0.4009952426751569,-1.0
6062,0.4227157720994329,0.4653424899313304,0.3345994206575255,-1.0
5477,0.571614400644805,0.4488253205367404,0.280390291107562,-1.0
6288,0.4482241273481392,0.4785623533298674,0.3706399797880662,-1.0
5731,0.5622956125735027,0.5136696560997491,0.4461696760404978,-1.0
5285,0.6403844004366733,0.522735290733696,0.3609104428115342,-1.0
6372,0.5651260335790896,0.5031374985362296,0.3847407927859106,-1.0
6389,0.6006130198031892,0.5405531951261202,0.4700537201181842,-1.0
6101,0.4555957636108544,0.4317386989699894,0.3715108818396468,-1.0
5853,0.5443800219916526,0.5260874881917883,0.3736950799401928,-1.0
6364,0.5036547403375649,0.4307340843696143,0.2998710631358345,-1.0
6489,0.4721103244784685,0.4112531447813871,0.3511229755704086,-1.0
6255,0.4661064837374437,0.5122952481692491,0.5244930027555352,-1.0
6166,0.5094852584431746,0.5320537224402088,0.416626466220815,-1.0
6324,0.505302416916449,0.4709179420909988,0.4544463648544708,-1.0
6110,0.4496190865796522,0.4260571708891753,0.3867173007505062,-1.0
6318,0.4731049232032144,0.4456026369416661,0.3532413308082445,-1.0
980,0.5325752335398046,0.5092771827560694,0.4905642669246184,-1.0
638,0.4544021159737123,0.4711073325866249,0.4306796396007359,-1.0
721,0.4454107962774972,0.4479178081803881,0.4430579683675044,-1.0
940,0.6577347587857414,0.5736587836419365,0.3926297392618718,-1.0
550,0.5452653967991138,0.5041561452167074,0.3683670512539991,-1.0
904,0.4868685681616059,0.4491213526447296,0.4008383094058357,-1.0
532,0.3789648095383032,0.3956831208264117,0.3724643102050993,-1.0
1183,0.4406398095127923,0.4657563576069563,0.3832732758786897,-1.0
978,0.4247719686677066,0.4347925222599404,0.3406152143031326,-1.0
930,0.4665550978915821,0.4482143723360055,0.4156002252466007,-1.0
840,0.4895077007091884,0.4968456242112953,0.3742674548178322,-1.0
444,0.4825157473720235,0.5018892026111655,0.4162831502215537,-1.0
1174,0.5384460951616141,0.4308728205942271,0.2874898256786642,-1.0
1068,0.5636864121852877,0.5398623413059191,0.5347987377508695,-1.0
509,0.4677134236913039,0.4281584180723208,0.4421191151714357,-1.0
36,0.5344169977863606,0.4746713347596951,0.3842661183509776,-1.0
121,0.4865045689629401,0.4466973589367985,0.3867389462984922,-1.0
795,0.5472850458458137,0.5393571468116017,0.4567812287021712,-1.0
223,0.4689889646085675,0.419646113010937,0.3049805507034823,-1.0
1159,0.4942178021771165,0.4304327146563436,0.3298489554482157,-1.0
1604,0.4664700996804546,0.4689479124204381,0.3474538659191778,-1.0
1992,0.4627097073014184,0.4309925280875326,0.3070090840808338,-1.0
1395,0.5577196303890246,0.5246419468886853,0.4703282320166465,-1.0
2177,0.4891580899530267,0.4925657129815177,0.4329398381328276,-1.0
1900,0.4098887326453841,0.4333011767954983,0.4083231440589004,-1.0
1944,0.4661914634490092,0.4282482020716878,0.3783740254640497,-1.0
1836,0.5038947858079249,0.4967268936736522,0.3476227446498517,-1.0
1649,0.5769400557678324,0.4959185926270232,0.4061770324246433,-1.0
1830,0.5042161202015686,0.5029606560222474,0.4356000362234763,-1.0
1884,0.5660372321207437,0.5172578475225013,0.4371127537857914,-1.0
2497,0.5367707887942132,0.480519090894058,0.4164400043781217,-1.0
1998,0.5885325337643027,0.5385088524550248,0.379161665263113,-1.0
1969,0.6302660780336476,0.4798717999708335,0.3950389107637646,-1.0
2500,0.5834544219001451,0.577211156496961,0.4598963584254606,-1.0
1416,0.450366839165764,0.4777180642659427,0.2973993643831709,-1.0
1344,0.4441809456515339,0.47035712182771,0.4287739209798034,-1.0
1482,0.4551276761456115,0.5930214893284261,0.2678789043373973,-1.0
1723,0.4917307402858077,0.460965403929568,0.3000162618055972,-1.0
2048,0.5586310309729882,0.510303396867792,0.3770000243056029,-1.0
1653,0.4897532257024538,0.4763547875764193,0.41038605561786,-1.0
4758,0.6827344632768361,0.5465270854104354,0.3515853772017281,-1.0
5141,0.43135504300295,0.4341170727289394,0.2732669319628938,-1.0
4195,0.4675873291283026,0.467962987904329,0.4071205120275767,-1.0
4518,0.5871338893742606,0.525855967050563,0.3473989246806537,-1.0
4718,0.6125473645515213,0.5124567938814482,0.3901174424639214,-1.0
4152,0.6211559540498587,0.543614289078519,0.4115105178083306,-1.0
4007,0.5298721161586245,0.493532221564071,0.4418524931273825,-1.0
4079,0.4474182853898214,0.3722764086173158,0.2904558678523566,-1.0
5066,0.6319057091127469,0.5500858833798805,0.4633876941417578,-1.0
4750,0.3865908045026991,0.437938273152821,0.2905686650411823,-1.0
4644,0.5016864861345119,0.437273196257886,0.3932875045687294,-1.0
4636,0.6316653832162163,0.5622860344192293,0.4409301886621962,-1.0
4901,0.3387722105795194,0.3595997016213391,0.2850893233423866,-1.0
4309,0.52285125403993,0.4455268793814863,0.294260728053462,-1.0
4147,0.5334682256810999,0.4529448588766335,0.361804534010896,-1.0
4509,0.4203190194777697,0.3434792034304692,0.214024550632518,-1.0
4495,0.377126180511335,0.435090372157546,0.3997095590685505,-1.0
4855,0.4229892120060036,0.432726817582663,0.3432209232821757,-1.0
